주차장이름(pl_nm),법정동코드(bemd_code),일반-1일(전일)(pl_allday_pass_amt),계획주차면수(pl_num_space_planned),경도(logitude),위도(latitude)
드림빌 주차장,10100,0,5.0,127.091602,37.558103
영화사로3길 006-00 주차장,10100,0,6.0,127.090636,37.557256
영화사로3길 024-00 주차장,10100,0,4.0,127.091332,37.557851
영화사로 022-00 주차장,10100,0,4.0,127.089631,37.55733
한국양토양록농협 주차장,10100,0,16.0,127.089753,37.557176
영화사로 028-01 주차장,10100,0,2.0,127.090108,37.556991
영화사로 030-00 주차장,10100,0,4.0,127.090246,37.556892
덕흥빌딩 주차장,10100,100000,1.0,127.090385,37.556735
영화사로 034-00 주차장,10100,0,12.0,127.090543,37.556582
청기와월드타운 주차장,10100,0,20.0,127.090787,37.556458
용마산로 020-00 주차장,10100,0,7.0,127.088617,37.555474
지오오피스텔 주차장,10100,0,5.0,127.088534,37.555893
용마산로 034-00 주차장,10100,0,7.0,127.08841,37.556685
용마산로 038-00 주차장,10100,0,8.0,127.088352,37.556971
화성빌딩 주차장,10100,15000,31.0,127.088315,37.557655
해성빌라 주차장,10100,0,1.0,127.090351,37.555906
롯데빌리지 주차장,10100,0,4.0,127.08923,37.556522
정수아트빌 주차장,10100,0,3.0,127.08929,37.556354
대진아트빌 주차장,10100,0,4.0,127.089371,37.556346
원진주택 주차장,10100,0,7.0,127.089409,37.556671
용마산로4길 022-14 주차장,10100,0,2.0,127.089449,37.555868
승재빌 주차장,10100,0,2.0,127.089394,37.556229
그랑아트빌 주차장,10100,0,3.0,127.089745,37.556442
용마산로4길 034-00 주차장,10100,0,6.0,127.090081,37.556736
용마산로4길 035-00 주차장,10100,0,3.0,127.089959,37.556942
용마산로4길 005-00 주차장,10100,0,4.0,127.088673,37.556452
나폴리움 주차장,10100,0,8.0,127.088555,37.556276
이화빌리지 주차장,10100,0,6.0,127.088786,37.556476
자양로43길 111-07 주차장,10100,0,1.0,127.088825,37.555639
자양로43길 111-09 주차장,10100,0,1.0,127.088792,37.555729
금화아트빌 주차장,10100,0,10.0,127.089244,37.555441
대원어린이집 주차장,10100,0,2.0,127.089001,37.555624
자양로43길 117-00 주차장,10100,0,2.0,127.088959,37.555701
자양로43길 118-03 주차장,10100,0,2.0,127.089367,37.555675
자양로43길 122-00 주차장,10100,0,4.0,127.089159,37.555852
대호아트빌 주차장,10100,0,6.0,127.089291,37.556022
도시공감 주차장,10100,0,5.0,127.089318,37.555871
자양로43길 123-00 주차장,10100,0,1.0,127.088938,37.555922
자양로43길 130-00 주차장,10100,0,4.0,127.089108,37.556221
자양로43길 131-00 주차장,10100,0,4.0,127.088841,37.556296
자양로43길 136-00 주차장,10100,0,4.0,127.089082,37.556498
자양로43길 137-04 주차장,10100,0,2.0,127.088646,37.556584
자양로43길 138-00 주차장,10100,0,2.0,127.089058,37.556608
자양로43길 140-00 주차장,10100,0,2.0,127.08904,37.556698
자양로43길 141-00 주차장,10100,0,3.0,127.088779,37.556707
맨션센토레아 주차장,10100,0,10.0,127.088619,37.556758
자양로43길 142-00 주차장,10100,0,4.0,127.089016,37.556795
이화하이빌 주차장,10100,0,3.0,127.089004,37.556891
행복한 집 주차장,10100,0,4.0,127.088978,37.556977
자양로45길 103-00 주차장,10100,0,2.0,127.089652,37.555593
자양로45길 103-04 주차장,10100,0,2.0,127.089484,37.555679
블루빌 주차장,10100,0,16.0,127.089905,37.555693
자양로45길 105-00 주차장,10100,0,2.0,127.089635,37.555706
자양로45길 108-00 주차장,10100,0,2.0,127.089836,37.555846
정수아트빌 주차장,10100,0,4.0,127.089818,37.55621
해성빌라 주차장,10100,0,2.0,127.089548,37.556263
진원아트빌 주차장,10100,0,6.0,127.08966,37.556937
유진세인트빌 주차장,10100,0,5.0,127.089544,37.557014
자양로53길 106-00 주차장,10100,0,2.0,127.089484,37.557098
매일사우나 주차장,10100,0,7.0,127.089223,37.55692
자양로53길 111-00 주차장,10100,0,5.0,127.088983,37.557119
자양로53길 112-00 주차장,10100,0,5.0,127.089243,37.557236
자양로53길 114-00 주차장,10100,0,2.0,127.089064,37.557291
자양로53길 075-00 주차장,10100,0,1.0,127.090471,37.556028
자양로53길 081-00 주차장,10100,0,15.0,127.090277,37.556179
자양로53길 082-00 주차장,10100,0,2.0,127.090421,37.556318
힐 그린하우스 주차장,10100,0,10.0,127.0903,37.556398
자양로53길 087-00 주차장,10100,0,5.0,127.090031,37.556324
욱현빌라 주차장,10100,0,6.0,127.089953,37.556384
자양로53길 098-00 주차장,10100,0,2.0,127.089726,37.556829
자양로53길 090-00 주차장,10100,0,9.0,127.090129,37.556658
자양로53길 085-00 주차장,10100,0,9.0,127.090076,37.556158
용마산로 036-00 주차장,10100,0,10.0,127.088383,37.556799
프라임하우스 주차장,10100,0,6.0,127.088883,37.556112
용마산로4길 022-16 주차장,10100,0,4.0,127.089336,37.555747
KB city 3 주차장,10500,0,4.0,127.076857,37.534111
뚝섬로43길 025-00 주차장,10500,0,10.0,127.077727,37.53368
동광팰리스 주차장,10500,0,8.0,127.077813,37.530295
그린빌라4 주차장,10500,50000,6.0,127.079298,37.532996
뚝섬로52길 032-00 주차장,10500,0,3.0,127.078796,37.530618
자양번영로3 003-00 주차장,10500,0,17.0,127.07413,37.530072
자양번영로 011-00 주차장,10500,0,11.0,127.074707,37.530713
영진빌딩 주차장,10500,0,7.0,127.074888,37.531249
대양빌딩 주차장,10500,0,10.0,127.074965,37.531539
에코하우스 주차장,10500,0,6.0,127.074451,37.531074
자양번영로1길 004-03 주차장,10500,0,3.0,127.074529,37.530855
자양번영로2길 059-00 주차장,10500,0,2.0,127.078403,37.529985
자양번영로2길 059-08 주차장,10500,0,13.0,127.07848,37.530264
서림골드빌라 주차장,10500,0,3.0,127.078507,37.530347
다올주택 주차장,10500,0,4.0,127.078579,37.530508
자양번영로4길 031-00 주차장,10500,0,1.0,127.077109,37.531326
자양번영로4길 040-00 주차장,10500,0,2.0,127.077491,37.531092
자양번영로4길 042-14 주차장,10500,0,2.0,127.077357,37.530618
자양번영로8길 015-05 주차장,10500,0,4.0,127.076989,37.534568
자양번영로8길 015-03 주차장,10500,0,4.0,127.076956,37.534462
드림팰리스3차 주차장,10500,0,11.0,127.078755,37.533654
파랑새빌라 주차장,10500,0,18.0,127.078554,37.53351
뚝섬로49길 021-00 주차장,10500,0,2.0,127.078961,37.533329
뚝섬로49길 017-00 주차장,10500,0,3.0,127.078878,37.533243
에코하임2차 주차장,10500,0,7.0,127.078649,37.533224
신성주택 주차장,10500,0,3.0,127.077973,37.533255
LG주택 주차장,10500,0,2.0,127.078606,37.530601
우성아파트 주차장,10500,0,226.0,127.074072,37.533286
연주아트빌 주차장,10500,0,4.0,127.07755,37.532954
대원아트빌 주차장,10500,0,4.0,127.073335,37.532916
극동하이빌 주차장,10500,0,6.0,127.078648,37.530741
뚝섬로 632-00 주차장,10500,0,13.0,127.079746,37.531747
뚝섬로50길 046-00 주차장,10500,0,2.0,127.077618,37.530386
자양번영로2길 055-00 주차장,10500,0,1.0,127.078086,37.530045
자양번영로2길 059-05 주차장,10500,0,1.0,127.078271,37.530209
자양번영로2길 059-03 주차장,10500,0,2.0,127.078247,37.530117
자양번영로3길 038-03 주차장,10500,0,4.0,127.073066,37.532365
자양번영로3길 030-09 주차장,10500,0,1.0,127.073773,37.532352
자양번영로5길 018-06 주차장,10500,0,6.0,127.074673,37.532815
자양번영로5길 008-07 주차장,10500,0,3.0,127.074874,37.532782
플러스 주차장,10500,0,6.0,127.077774,37.533132
성지빌딩 주차장,10500,0,4.0,127.07779,37.532758
삼성제일의과의원 주차장,10500,0,11.0,127.078003,37.532738
자양로13다길 029-00 주차장,10500,0,3.0,127.078292,37.532989
뚝섬로49길 011-00 주차장,10500,0,4.0,127.07852,37.532909
뚝섬로 621-00 주차장,10500,0,5.0,127.078855,37.532406
닥터하우스 주차장,10500,0,7.0,127.077416,37.531943
청구빌라 주차장,10500,0,8.0,127.077356,37.531798
재호주택 주차장,10500,0,3.0,127.076644,37.530488
대원빌 9차 주차장,10500,0,6.0,127.077348,37.531711
뚝섬로46길 019-05 주차장,10500,0,5.0,127.07723,37.531841
뚝섬로46길 019-04 주차장,10500,0,6.0,127.077029,37.531753
뚝섬로46길 019-01 주차장,10500,0,4.0,127.076877,37.531778
자양번영로4길 025-00 주차장,10500,0,4.0,127.076789,37.531406
자양번영로4길 029-00 주차장,10500,0,3.0,127.076929,37.531379
리버그린자양 주차장,10500,0,7.0,127.077134,37.531163
뚝섬로48길 026-00 주차장,10500,0,4.0,127.077059,37.530894
뚝섬로48길 030-00 주차장,10500,0,6.0,127.077016,37.530723
뚝섬로48길 034-00 주차장,10500,0,1.0,127.076975,37.530558
마이하우스 주차장,10500,0,3.0,127.076903,37.530298
자양번영로2길 031-00 주차장,10500,0,1.0,127.07676,37.530319
경도미소빌 주차장,10500,0,10.0,127.079412,37.530909
더블랙자양 주차장,10500,0,16.0,127.076252,37.533234
선린교회 주차장,10500,0,13.0,127.076568,37.533415
자양번영로 046-00 주차장,10500,0,8.0,127.076078,37.533649
대원캐슬빌라5차 주차장,10500,0,4.0,127.076192,37.534045
지오파크 주차장,10500,0,12.0,127.073992,37.530527
자양번영로1길 012-01 주차장,10500,0,2.0,127.074067,37.530836
지오빌 주차장,10500,0,13.0,127.073649,37.530544
부흥연립 주차장,10500,0,15.0,127.078372,37.53364
청록빌라 주차장,10500,0,6.0,127.078555,37.533778
호에아트빌 주차장,10500,0,8.0,127.078338,37.533936
뚝섬로45길 029-00 주차장,10500,0,4.0,127.078074,37.533958
자양드림빌 주차장,10500,0,10.0,127.07809,37.533941
삼성홈타운12차 주차장,10500,0,10.0,127.077639,37.533621
세웅그린빌 주차장,10500,0,6.0,127.076672,37.530622
제니스빌9차 주차장,10500,0,7.0,127.076777,37.53102
이든하우스 주차장,10500,0,4.0,127.076634,37.531044
가든하우스 주차장,10500,0,6.0,127.076483,37.530515
대원캐슬2차 주차장,10500,0,4.0,127.077126,37.530342
광일사 주차장,10500,0,4.0,127.077396,37.531271
삼성그린빌 주차장,10500,0,8.0,127.077477,37.531491
극동빌딩 주차장,10500,0,3.0,127.077605,37.531873
뚝섬로 610-01 주차장,10500,0,1.0,127.077473,37.53252
자양번영로4길 041-05 주차장,10500,0,2.0,127.077605,37.531455
로양빌라 주차장,10500,0,6.0,127.077531,37.531242
파랑새빌라 주차장,10500,0,6.0,127.077488,37.530398
자양번영로4길 041-08 주차장,10500,0,2.0,127.077837,37.53149
뚝섬로 50길 016-00 주차장,10500,0,4.0,127.078026,37.531757
뚝섬로50길 018-00 주차장,10500,0,3.0,127.077992,37.531642
뚝섬로50길 034-00 주차장,10500,0,2.0,127.077786,37.530949
리카빌 주차장,10500,0,5.0,127.076311,37.529924
은혜빌 주차장,10500,0,5.0,127.076278,37.529807
한영그린빌 주차장,10500,0,8.0,127.076205,37.529563
욱현하이브 주차장,10500,0,8.0,127.076486,37.529427
자양번영로2길 030-11 주차장,10500,0,5.0,127.076595,37.529758
뚝섬로48길 048-00 주차장,10500,0,2.0,127.076776,37.529899
한가람어린이집 주차장,10500,0,2.0,127.076685,37.530074
가든하우스 주차장,10500,0,14.0,127.0778,37.533543
뚝섬로45길 014-00 주차장,10500,0,5.0,127.077612,37.533389
자양로13다길 050-00 주차장,10500,0,2.0,127.077336,37.533536
세림에버빌3차 주차장,10500,0,8.0,127.077655,37.533784
스타시티빌 주차장,10500,0,12.0,127.077719,37.533916
신흥빌라 주차장,10500,0,7.0,127.077852,37.533997
진아 주차장,10500,0,12.0,127.078012,37.534126
뚝섬로43길 008-00 주차장,10500,0,5.0,127.076755,37.533235
유일빌딩 주차장,10500,0,7.0,127.079099,37.532479
미성아트빌 주차장,10500,0,3.0,127.07921,37.532459
자양로13길 104-00 주차장,10500,0,1.0,127.079672,37.532451
자양로13길 100-00 주차장,10500,0,4.0,127.079701,37.532547
자양마트 주차장,10500,0,4.0,127.07883,37.530725
세움주택 주차장,10500,0,8.0,127.078735,37.530497
뚝섬로52길 044-00 주차장,10500,0,5.0,127.078603,37.530147
자양 에스하임3 주차장,10500,0,9.0,127.077702,37.53172
뚝섬로49길 018-00 주차장,10500,0,2.0,127.078987,37.533102
경성하우스 주차장,10500,0,12.0,127.077888,37.531778
태양빌라 주차장,10500,0,8.0,127.076496,37.534253
자양번영로3가길 036-00 주차장,10500,0,2.0,127.073851,37.530265
서울신자초등학교 주차장,10500,0,40.0,127.075537,37.53008
한강아파트 주차장,10500,0,17.0,127.075266,37.529707
자양번영로2길 030-00 주차장,10500,0,5.0,127.076503,37.530148
경성빌라트 주차장,10500,0,8.0,127.076347,37.530048
새종에코그란 주차장,10500,0,4.0,127.076481,37.530013
뚝섬로49길 018-01 주차장,10500,0,2.0,127.079038,37.53303
동원빌딩 주차장,10500,0,4.0,127.075015,37.531747
아주빌딩 주차장,10500,0,5.0,127.075288,37.533087
자양종합사회복지관 주차장,10500,0,14.0,127.075248,37.532918
자양번영로3길 038-09 주차장,10500,0,3.0,127.073238,37.532564
뚝섬로 615-03 주차장,10500,0,1.0,127.07816,37.532771
위너스빌 주차장,10500,0,8.0,127.079366,37.530727
골드스톤빌 주차장,10500,0,5.0,127.079129,37.530491
자양번영로4길 041-04 주차장,10500,0,2.0,127.077777,37.531297
뚝섬로 621-04 주차장,10500,0,2.0,127.078985,37.532516
뚝섬로50길 039-00 주차장,10500,0,3.0,127.077926,37.530628
뚝섬로50길 037-00 주차장,10500,0,2.0,127.077936,37.530713
뚝섬로50길 035-00 주차장,10500,0,4.0,127.077977,37.530812
뚝섬로50길 023-00 주차장,10500,0,2.0,127.078111,37.53124
뚝섬로50길 021-00 주차장,10500,0,6.0,127.078142,37.531342
뚝섬로50길 017-00 주차장,10500,0,2.0,127.078227,37.531568
뚝섬로49길 006-00 주차장,10500,0,4.0,127.078657,37.532613
네이션힐 주차장,10500,0,4.0,127.077064,37.534063
뚝섬로43길 011-09 주차장,10500,0,2.0,127.076798,37.533895
뚝섬로50길 036-00 주차장,10500,0,2.0,127.077761,37.530855
뚝섬로50길 038-00 주차장,10500,0,2.0,127.077731,37.530763
뚝섬로50길 040-00 주차장,10500,0,2.0,127.077697,37.530668
뚝섬로50길 048-00 주차장,10500,0,3.0,127.077585,37.530273
스카이빌 주차장,10500,0,8.0,127.077877,37.530479
뚝섬로46길 036-04 주차장,10500,0,2.0,127.076293,37.531224
뚝섬로46길 040-00 주차장,10500,0,2.0,127.076379,37.530989
설원빌 주차장,10500,0,5.0,127.073247,37.531114
정오연립 주차장,10500,0,8.0,127.073428,37.531218
현대맨션 주차장,10500,0,14.0,127.073531,37.531705
뚝섬로45길 005-04 주차장,10500,0,3.0,127.077029,37.533174
뚝섬로 607-05 주차장,10500,0,4.0,127.077378,37.533008
자양로13다길 045-00 주차장,10500,0,5.0,127.077476,37.533198
자양번영로028-00 주차장,10500,0,5.0,127.075615,37.532164
한미자동차 주차장,10500,0,10.0,127.075525,37.53184
예광교회 주차장,10500,0,8.0,127.07681,37.5325
신흥금속 주차장,10500,0,4.0,127.077882,37.532387
자양번영로 038-00 주차장,10500,0,9.0,127.075895,37.532856
자양번영로 032-00 주차장,10500,0,12.0,127.075722,37.53244
자양번영로4길 053-13 주차장,10500,0,3.0,127.078404,37.531641
선우빌 주차장,10500,0,5.0,127.078379,37.531533
자양번영로4길 053-03 주차장,10500,0,4.0,127.078269,37.531216
태영그린빌 주차장,10500,0,11.0,127.078098,37.530702
자양번영로2길 053-11 주차장,10500,0,2.0,127.078014,37.530451
자양 에스하임2 주차장,10500,0,10.0,127.077959,37.530267
힐하우스 주차장,10500,0,7.0,127.076649,37.533922
리베빌 주차장,10500,0,7.0,127.077471,37.534112
자양번영로8길 017-00 주차장,10500,0,4.0,127.077136,37.534322
무지개빌 주차장,10500,0,6.0,127.07688,37.534215
골든맨숀 주차장,10500,0,6.0,127.078931,37.533789
뚝섬로47길 032-05 주차장,10500,0,5.0,127.079032,37.533697
뚝섬로44길 007-00 주차장,10500,0,4.0,127.076328,37.532661
자양번영로4길 030-06 주차장,10500,0,2.0,127.076801,37.531114
자양번영로4길 030-14 주차장,10500,0,2.0,127.0767,37.530742
그레이스 빌 주차장,10500,0,3.0,127.079537,37.532799
희성빌라트 주차장,10500,0,3.0,127.079652,37.532741
진연빌 주차장,10500,0,10.0,127.079249,37.533329
뚝섬로48길 012-00 주차장,10500,0,1.0,127.077266,37.531459
뚝섬로48길 016-00 주차장,10500,0,3.0,127.077206,37.531329
갤러리하우스 주차장,10500,0,7.0,127.077575,37.531766
자양번영로6길 042-00 주차장,10500,0,3.0,127.077731,37.531865
자이빌라 주차장,10500,0,4.0,127.079463,37.532623
평강빌라 주차장,10500,0,3.0,127.079193,37.532714
대원아트빌 주차장,10500,0,8.0,127.078978,37.532776
라온빌 주차장,10500,0,6.0,127.077518,37.532355
자양번영로6길 009-01 주차장,10500,0,6.0,127.076284,37.532522
뚝섬로44길 008-00 주차장,10500,0,6.0,127.07611,37.532664
자양번영로6길 009-00 주차장,10500,0,4.0,127.076074,37.532554
굿모닝빌 주차장,10500,0,6.0,127.075752,37.532028
세진하이빌 주차장,10500,0,6.0,127.075728,37.531898
Y-PARK 주차장,10500,0,10.0,127.075875,37.531736
자양번영로4길 008-00 주차장,10500,0,8.0,127.075774,37.531399
뚝섬로44길 042-00 주차장,10500,0,4.0,127.075806,37.531274
뉴다성시티빌 주차장,10500,0,8.0,127.075646,37.530869
다성씨티빌 주차장,10500,0,8.0,127.075615,37.530647
뚝섬로628-00 주차장,10500,0,2.0,127.07926,37.531985
뚝섬로50길 007-00 주차장,10500,0,4.0,127.078377,37.531998
자양번영로6길 067-00 주차장,10500,0,5.0,127.079205,37.531615
신성베스트빌 주차장,10500,0,8.0,127.078188,37.532091
크로마하우스2 주차장,10500,0,5.0,127.077165,37.532204
뚝섬로46길 009-00 주차장,10500,0,4.0,127.077041,37.53225
엘림하우스 주차장,10500,0,2.0,127.077256,37.532309
그린빌라 주차장,10500,0,2.0,127.077378,37.53243
삼성그린빌 주차장,10500,0,10.0,127.076896,37.530728
뚝섬로47길 032-04 주차장,10500,0,3.0,127.078861,37.533584
자양번영로3다길 015-00 주차장,10500,0,3.0,127.073136,37.531437
주식회사신흥기업 주차장,10500,0,17.0,127.074495,37.530286
동화홈타운 주차장,10500,0,8.0,127.075888,37.530874
평강교회 주차장,10500,0,8.0,127.076112,37.531585
벽당미가리치빌 주차장,10500,0,10.0,127.076309,37.531502
대원빌15차 주차장,10500,0,8.0,127.076097,37.531091
위너스빌 주차장,10500,0,8.0,127.075999,37.530749
동진빌라 주차장,10500,0,6.0,127.076092,37.530476
뚝섬로46길 042-00 주차장,10500,0,4.0,127.076353,37.5309
자양번영로6길 026-00 주차장,10500,0,7.0,127.076975,37.532044
우석메이빌 주차장,10500,0,10.0,127.077081,37.531881
자양번영로6길 060-00 주차장,10500,0,1.0,127.078748,37.531553
신우빌라 주차장,10500,0,6.0,127.078589,37.531054
대명리치빌 주차장,10500,0,6.0,127.0785,37.53091
어반캐슬 주차장,10500,0,11.0,127.078463,37.530824
조은빌 주차장,10500,0,3.0,127.078379,37.53054
한솔센트빌 주차장,10500,0,6.0,127.07833,37.530394
경도미소빌 주차장,10500,0,8.0,127.078294,37.530765
파랑새빌라 주차장,10500,0,11.0,127.078352,37.530941
미도빌라 주차장,10500,0,3.0,127.078451,37.531062
극동하이빌 주차장,10500,0,4.0,127.078571,37.531479
THE팰리스 주차장,10500,0,6.0,127.078603,37.531592
극동하이빌 주차장,10500,0,8.0,127.077612,37.534266
자양번영로3가길 003-00 주차장,10500,0,1.0,127.074552,37.531563
자양번영로1길 004-05 주차장,10500,0,2.0,127.074581,37.530947
송광아트빌라 주차장,10500,0,3.0,127.074503,37.532329
자양번영로3나길 013-03 주차장,10500,0,2.0,127.073949,37.531383
우성아파트 주차장,10500,0,450.0,127.075527,37.534388
자양번영로 047-03 주차장,10500,0,1.0,127.075503,37.533837
우석빌딩 주차장,10500,0,9.0,127.075594,37.533714
신축빌딩 주차장,10500,0,41.0,127.075006,37.533673
오렌지하우스 주차장,10500,0,10.0,127.074377,37.530983
자양번영로 050-00 주차장,10500,0,8.0,127.076166,37.533907
삼호빌 주차장,10500,0,4.0,127.077932,37.531407
에버그린빌 주차장,10500,0,8.0,127.076332,37.529464
금성연립 주차장,10500,0,13.0,127.073881,37.532044
뚝섬로43길 003-07 주차장,10500,0,2.0,127.0763,37.533454
파랑새빌라 주차장,10500,0,8.0,127.075488,37.531059
자양번영로2길 005-06 주차장,10500,0,3.0,127.075492,37.530718
뚝섬로44길 041-00 주차장,10500,0,4.0,127.075988,37.531232
대원빌 15차 주차장,10500,0,5.0,127.076259,37.531115
뚝섬로46길 048-00 주차장,10500,0,4.0,127.076277,37.530696
자양에스하임6 주차장,10500,0,11.0,127.078716,37.531348
대양리버빌 주차장,10500,0,16.0,127.075759,37.532282
뚝섬로52길 004-11 주차장,10500,0,3.0,127.078866,37.531946
명성아파트 주차장,10500,0,28.0,127.077501,37.532169
자양번영로1길 028-00 주차장,10500,0,4.0,127.073302,37.530928
자양번영로6길 008-00 주차장,10500,0,2.0,127.076043,37.532296
자양번영로4길 030-12 주차장,10500,0,1.0,127.076728,37.530832
선린어린이집 주차장,10500,0,8.0,127.077001,37.53343
뚝섬로43길 006-00 주차장,10500,0,6.0,127.07666,37.533176
성보빌딩 주차장,10500,0,5.0,127.075268,37.53267
뚝섬로45길 005-02 주차장,10500,0,4.0,127.077175,37.533127
자양로13다길 043-00 주차장,10500,0,7.0,127.077655,37.533153
도성아파트 주차장,10500,0,12.0,127.07723,37.534094
뚝섬로50길 050-00 주차장,10500,0,3.0,127.077552,37.530161
자양로13다길 010-00 주차장,10500,0,4.0,127.079421,37.532838
진연빌 주차장,10500,0,2.0,127.079076,37.532905
신호빌라트 주차장,10500,0,23.0,127.074983,37.529714
자양번영로4길 041-06 주차장,10500,0,2.0,127.07778,37.531397
뚝섬로43길 017-00 주차장,10500,0,3.0,127.077016,37.533711
예은시티빌 주차장,10500,0,6.0,127.078738,37.533135
자양로13다길 040-00 주차장,10500,0,4.0,127.077846,37.533281
뚝섬로46길 027-00 주차장,10500,0,4.0,127.07681,37.53153
자양번영로5길 008-00 주차장,10500,0,6.0,127.075015,37.5325
뚝섬로41길 008-00 주차장,10500,0,6.0,127.075137,37.533944
제일은행 주차장,10500,0,15.0,127.075447,37.533519
자양번영로4길 059-14 주차장,10500,0,1.0,127.078969,37.53147
럭스 빌 주차장,10500,0,4.0,127.079088,37.532741
현대맨션 주차장,10500,0,7.0,127.074504,37.531299
자양번영로4길 041-10 주차장,10500,0,2.0,127.07784,37.53158
자양번영로4길 030-00 주차장,10500,0,3.0,127.076818,37.531217
토미빌 주차장,10500,0,5.0,127.077997,37.530898
뚝섬로50길 019-00 주차장,10500,0,6.0,127.078164,37.53149
뚝섬로47길 008-00 주차장,10500,0,3.0,127.077933,37.532953
자양번영로3나길 017-03 주차장,10500,0,3.0,127.073892,37.531129
한양팰리스 주차장,10500,0,23.0,127.074681,37.530411
제이원하이텔 주차장,10500,0,39.0,127.075869,37.532696
자양번영로4길 053-01 주차장,10500,0,4.0,127.078268,37.531127
오렌지하우스 2차 주차장,10500,0,9.0,127.078196,37.530418
나래하이빌 주차장,10500,0,4.0,127.076781,37.530452
삼성그린빌 주차장,10500,0,8.0,127.077268,37.530835
다성시티빌 주차장,10500,0,8.0,127.078649,37.530286
뉴페리온 주차장,10500,0,8.0,127.077318,37.534394
자양번영로4길 046-00 주차장,10500,0,3.0,127.077811,37.53104
뚝섬로50길 031-00 주차장,10500,0,1.0,127.078033,37.530993
자양번영로4길 062-00 주차장,10500,0,3.0,127.078676,37.530873
자양번영로4길 059-03 주차장,10500,0,2.0,127.07863,37.531154
한솔마트 주차장,10500,0,6.0,127.078874,37.530841
예진빌 주차장,10500,0,7.0,127.077267,37.531963
뚝섬로50길 026-00 주차장,10500,0,3.0,127.077912,37.531304
국제빌딩 주차장,10500,0,4.0,127.078256,37.532269
자양번영로2길 053-14 주차장,10500,0,2.0,127.078247,37.530574
뚝섬로49길 005-00 주차장,10500,0,2.0,127.078449,37.532695
광진하나플러스 주차장,10500,0,59.0,127.075728,37.529532
뚝섬로52길 039-00 주차장,10500,0,3.0,127.078952,37.530266
뚝섬로44길 001-00 주차장,10500,0,3.0,127.076468,37.532741
뚝섬로44길 052-00 주차장,10500,0,4.0,127.075514,37.53085
파랑새빌라 주차장,10500,0,6.0,127.075809,37.530621
광성그린빌 주차장,10500,0,8.0,127.078793,37.5334208
자양번영로5길 016-00 주차장,10500,0,6.0,127.074607,37.532578
뚝섬로50길 049-00 주차장,10500,0,2.0,127.077759,37.530103
역전할머니국수 주차장,10500,0,4.0,127.076147,37.532895
뚝섬로49길 004-03 주차장,10500,0,2.0,127.078765,37.532586
60계 주차장,10500,0,3.0,127.076932,37.533589
뚝섬로44길 051-06 주차장,10500,0,3.0,127.075943,37.530623
자양번영로6길 052-00 주차장,10500,0,5.0,127.078243,37.53169
뚝섬로43길 011-03 주차장,10500,0,3.0,127.07675,37.533681
뚝섬로48길 010-00 주차장,10500,0,2.0,127.077299,37.531569
삼익빌라 주차장,10500,0,3.0,127.078864,37.532814
상일봉사학교 주차장,10500,0,2.0,127.074924,37.53137
우신빌딩 주차장,10500,0,4.0,127.074831,37.531052
오렌지하우스 주차장,10500,0,14.0,127.076998,37.531186
자양리버뷰 주차장,10500,0,5.0,127.076811,37.530591
슈나우스 주차장,10500,0,6.0,127.078763,37.531888
뚝섬로48길 009-00 주차장,10500,0,4.0,127.077506,37.531582
메이저빌 주차장,10100,0,4.0,127.080803,37.566071
화목교회 주차장,10100,0,3.0,127.080332,37.565473
긴고랑로7길 052-00 주차장,10100,0,4.0,127.080468,37.565539
긴고랑로7길 054-00 주차장,10100,0,2.0,127.08044,37.56571
긴고랑로7길 054-03 주차장,10100,0,4.0,127.080631,37.565623
주원그린빌 주차장,10100,0,8.0,127.080576,37.565906
중국어교습소 주차장,10100,0,4.0,127.080676,37.566076
아이조아유치원 주차장,10100,0,5.0,127.080492,37.56622
긴고랑로7길 066-03 주차장,10100,0,4.0,127.080883,37.566176
제일하이빌 주차장,10100,0,10.0,127.080989,37.56613
새하늘교회 주차장,10100,0,3.0,127.080759,37.566216
서울중마초등학교 주차장,10100,0,20.0,127.079811,37.565846
홍두깨 칼국수 주차장,10100,0,4.0,127.080483,37.565359
동일로72길 053-00 주차장,10100,0,4.0,127.080613,37.565276
동일로72길 053-01 주차장,10100,0,3.0,127.080622,37.565357
동일로74길 030-00 주차장,10100,0,1.0,127.081111,37.565879
신한빌딩 주차장,10100,0,7.0,127.080892,37.565669
카흐베하네 주차장,10100,0,3.0,127.081029,37.565771
이남희산부인과 주차장,10100,0,4.0,127.081069,37.565906
낙원감리교회 주차장,10100,0,5.0,127.081144,37.566042
긴고랑로13길 047-00 주차장,10100,0,4.0,127.082641,37.564594
긴고랑로13길 051-00 주차장,10100,0,2.0,127.082751,37.564731
긴고랑로13길 052-00 주차장,10100,0,2.0,127.082927,37.564656
중광초등학교 주차장,10100,0,13.0,127.082453,37.56517
가족보건의원 주차장,10100,0,17.0,127.08319,37.565039
연리지 주차장,10100,0,6.0,127.08329,37.565305
긴고랑로13길 069-00 주차장,10100,0,5.0,127.083113,37.565473
긴고랑로13길 071-00 주차장,10100,0,2.0,127.083166,37.56557
원우주택 주차장,10100,0,3.0,127.083205,37.565676
은성빌딩 주차장,10100,0,5.0,127.081465,37.565003
긴고랑로9길 035-04 주차장,10100,0,4.0,127.081465,37.565181
창우그린빌 주차장,10100,0,2.0,127.081706,37.565022
마레빌 주차장,10100,0,6.0,127.081889,37.565331
