주차장이름(pl_nm),법정동코드(bemd_code),일반-1일(전일)(pl_allday_pass_amt),계획주차면수(pl_num_space_planned),경도(logitude),위도(latitude)
루시드 자양 101 주차장,10500,0,11.0,127.065622,37.534173
능동로3라길 011-00 주차장,10500,0,11.0,127.064926,37.534327
명성빌딩 주차장,10500,0,5.0,127.064843,37.534589
뚝섬로32길 028-08 주차장,10500,0,2.0,127.066711,37.534673
뚝섬로32길 028-09 주차장,10500,0,4.0,127.066487,37.534676
능동로5길 029-00 주차장,10500,0,3.0,127.066369,37.536839
뚝섬로 476-00 주차장,10500,0,6.0,127.063137,37.536416
랜드마크 주차장,10500,0,29.0,127.063384,37.536237
동일로4길 037-05 주차장,10500,0,10.0,127.062811,37.536267
동일로4길 038-00 주차장,10500,0,3.0,127.062998,37.535929
뚝섬로24길 033-00 주차장,10500,0,3.0,127.063285,37.535008
리버하임 주차장,10500,0,5.0,127.063454,37.536056
한강모터스손세차 주차장,10500,0,11.0,127.064206,37.536144
뚝섬아트빌 주차장,10500,0,10.0,127.063855,37.535966
마이바움 자양 주차장,10500,0,6.0,127.063756,37.535967
동일로4길 056-05 주차장,10500,0,2.0,127.064269,37.535543
동일로4길 056-17 주차장,10500,0,5.0,127.064639,37.535144
건우빌라 주차장,10500,0,4.0,127.066333,37.538825
건우빌라 주차장,10500,18000,33.0,127.066075,37.538917
뚝섬로27길 049-16 주차장,10500,0,2.0,127.066202,37.538681
뚝섬로23가길 034-00 주차장,10500,0,4.0,127.066004,37.538589
뚝섬로27길 055-00 주차장,10500,0,4.0,127.066537,37.538304
경보주택 주차장,10500,0,21.0,127.066822,37.536266
아이세계어린이집 주차장,10500,0,4.0,127.062206,37.536131
동일로2길 035-00 주차장,10500,0,3.0,127.062277,37.534821
동일로10다길 020-08 주차장,10500,0,5.0,127.065127,37.537652
J-village 주차장,10500,0,4.0,127.067733,37.537649
뚝섬로23길 071-00 주차장,10500,0,6.0,127.067382,37.537738
능동로3마길 007-05 주차장,10500,0,1.0,127.064341,37.534631
선덕빌딩 주차장,10500,20000,23.0,127.066241,37.536169
뚝섬로 493-00 주차장,10500,0,2.0,127.065206,37.536283
뚝섬로 472-00 주차장,10500,0,4.0,127.062868,37.536643
능동로3길 054-00 주차장,10500,0,10.0,127.064531,37.534226
AMF하우스 주차장,10500,0,2.0,127.066091,37.535102
뚝섬로32길 005-04 주차장,10500,0,2.0,127.067604,37.53517
동일로10가길 014-01 주차장,10500,0,7.0,127.064032,37.53866
동일로4길 057-08 주차장,10500,0,1.0,127.064085,37.535903
뚝섬리버빌 주차장,10500,0,8.0,127.064517,37.535449
성지원룸리빙텔 주차장,10500,0,8.0,127.065724,37.538672
동일로18나길 016-00 주차장,10500,0,2.0,127.065341,37.538848
뚝섬로27길 045-00 주차장,10500,0,15.0,127.06602,37.538085
능동로7길 041-15 주차장,10500,0,2.0,127.067187,37.536842
동일로18가길 018-00 주차장,10500,0,4.0,127.064458,37.538913
이오빌 주차장,10500,0,2.0,127.064842,37.539172
뚝섬로28길 006-00 주차장,10500,0,1.0,127.064908,37.535943
이음하우스 주차장,10500,0,7.0,127.067529,37.537152
임흥파크빌 주차장,10500,0,5.0,127.067026,37.537313
에덴빌 6차 주차장,10500,0,11.0,127.063934,37.536189
뚝섬로23길 058-00 주차장,10500,0,5.0,127.066513,37.537308
뚝섬로31가길 017-00 주차장,10500,0,3.0,127.066936,37.536401
동일로4길 056-02 주차장,10500,0,5.0,127.06399,37.535636
능동로3길 066-17 주차장,10500,0,7.0,127.063345,37.535059
뚝섬로24길 030-00 주차장,10500,0,4.0,127.063081,37.535154
동일로4길 073-00 주차장,10500,0,2.0,127.064851,37.535639
능동로3라길 006-06 주차장,10500,0,2.0,127.065379,37.534073
뚝섬로32길 028-06 주차장,10500,0,1.0,127.066786,37.534568
동일로4길 074-00 주차장,10500,0,3.0,127.064957,37.535537
뚝섬로24길 034-00 주차장,10500,0,2.0,127.063064,37.535023
동일로10나길 023-00 주차장,10500,0,2.0,127.064729,37.538443
능동로9길 050-00 주차장,10500,0,2.0,127.066847,37.538227
뚝섬로24길 023-04 주차장,10500,0,2.0,127.063593,37.535333
뚝섬로27길 039-08 주차장,10500,0,2.0,127.065677,37.537572
동일로4길 056-08 주차장,10500,0,2.0,127.064165,37.53545
샤인빌2 주차장,10500,0,4.0,127.063583,37.534292
청솔한의원 주차장,10500,0,21.0,127.066115,37.537865
뚝섬로27길 022-00 주차장,10500,0,2.0,127.065943,37.536955
뚝섬로30길 028-01 주차장,10500,0,3.0,127.066742,37.534811
뚝섬로26길 016-00 주차장,10500,0,6.0,127.064743,37.535744
뚝섬로23길 051-00 주차장,10500,0,3.0,127.066149,37.537426
능동로7길 041-13 주차장,10500,0,2.0,127.06715,37.536929
뚝섬로31가길 013-00 주차장,10500,0,3.0,127.067044,37.536185
능동로3길 066-13 주차장,10500,0,4.0,127.06352,37.534828
뚝섬로23길 074-00 주차장,10500,0,4.0,127.067447,37.537561
성화빌라 주차장,10500,0,20.0,127.062144,37.535864
능동로9길 049-00 주차장,10500,0,4.0,127.066806,37.53804
능동로7길 061-00 주차장,10500,0,7.0,127.065708,37.537739
태영빌라트 주차장,10500,0,7.0,127.065869,37.538417
능동로7길 041-12 주차장,10500,0,2.0,127.066964,37.536928
능동로5길 007-00 주차장,10500,0,5.0,127.067425,37.536475
리치팰리스 주차장,10500,0,20.0,127.065975,37.53809
미산빌3차 주차장,10500,0,8.0,127.065246,37.538551
동일로18나길 011-01 주차장,10500,0,1.0,127.065572,37.539
미산빌7차 주차장,10500,0,5.0,127.064998,37.53843
미산빌5차 주차장,10500,0,8.0,127.064375,37.538199
동일로 10가길 024-06 주차장,10500,0,5.0,127.064276,37.538554
뚝섬로31길 015-00 주차장,10500,0,12.0,127.067648,37.536345
뚝섬로30가길 046-12 주차장,10500,0,2.0,127.065831,37.535471
자양리치빌5 주차장,10500,0,9.0,127.065541,37.535279
동일로2길 037-04 주차장,10500,0,3.0,127.062357,37.534949
동일로4가길 010-00 주차장,10500,0,4.0,127.062449,37.535758
뚝섬로26길 041-00 주차장,10500,0,3.0,127.06584,37.534848
능동로3나길 025-00 주차장,10500,0,6.0,127.065049,37.534738
능동로3나길 023-00 주차장,10500,0,7.0,127.065119,37.53464
미샹보르 주차장,10500,0,5.0,127.065322,37.534681
뚝섬리버빌6차 주차장,10500,0,7.0,127.06525,37.534508
능동로3나길 018-00 주차장,10500,0,11.0,127.065509,37.534516
팰리스빌 자양 4 주차장,10500,0,7.0,127.065781,37.534191
자양리치빌 주차장,10500,0,8.0,127.064797,37.534417
능동로3마길 010-06 주차장,10500,0,10.0,127.064733,37.534235
자양리치빌 주차장,10500,0,8.0,127.063653,37.535561
메이저빌 주차장,10100,0,4.0,127.080803,37.566071
화목교회 주차장,10100,0,3.0,127.080332,37.565473
긴고랑로7길 052-00 주차장,10100,0,4.0,127.080468,37.565539
긴고랑로7길 054-00 주차장,10100,0,2.0,127.08044,37.56571
긴고랑로7길 054-03 주차장,10100,0,4.0,127.080631,37.565623
주원그린빌 주차장,10100,0,8.0,127.080576,37.565906
긴고랑로7길 063-00 주차장,10100,0,5.0,127.080386,37.566219
중국어교습소 주차장,10100,0,4.0,127.080676,37.566076
아이조아유치원 주차장,10100,0,5.0,127.080492,37.56622
긴고랑로7길 066-03 주차장,10100,0,4.0,127.080883,37.566176
제일하이빌 주차장,10100,0,10.0,127.080989,37.56613
새하늘교회 주차장,10100,0,3.0,127.080759,37.566216
미뜰예어린이집 주차장,10100,0,6.0,127.080539,37.566338
긴고랑로7길 070-00 주차장,10100,0,2.0,127.080817,37.566364
서울중마초등학교 주차장,10100,0,20.0,127.079811,37.565846
홍두깨 칼국수 주차장,10100,0,4.0,127.080483,37.565359
동일로72길 053-00 주차장,10100,0,4.0,127.080613,37.565276
동일로72길 053-01 주차장,10100,0,3.0,127.080622,37.565357
동일로74길 030-00 주차장,10100,0,1.0,127.081111,37.565879
동일로74길 044-00 주차장,10100,0,4.0,127.080393,37.566395
신한빌딩 주차장,10100,0,7.0,127.080892,37.565669
카흐베하네 주차장,10100,0,3.0,127.081029,37.565771
이남희산부인과 주차장,10100,0,4.0,127.081069,37.565906
낙원감리교회 주차장,10100,0,5.0,127.081144,37.566042
면목로 147-00 주차장,10100,0,8.0,127.081443,37.566546
동일로74길 040-01 주차장,10100,0,4.0,127.080293,37.56646
긴고랑로13길 047-00 주차장,10100,0,4.0,127.082641,37.564594
긴고랑로13길 051-00 주차장,10100,0,2.0,127.082751,37.564731
긴고랑로13길 052-00 주차장,10100,0,2.0,127.082927,37.564656
중광초등학교 주차장,10100,0,13.0,127.082453,37.56517
가족보건의원 주차장,10100,0,17.0,127.08319,37.565039
연리지 주차장,10100,0,6.0,127.08329,37.565305
