주차장이름,주차면수,경도,위도,전일가격,법정동코드
325-4 거주자우선주차장,1,127.1075645,37.5473364,40000,10400
325-4 거주자우선주차장,1,127.107594,37.5473521,40000,10400
325-4 거주자우선주차장,1,127.1076273,37.5473661,40000,10400
325-4 거주자우선주차장,1,127.1076557,37.547378,40000,10400
325-4 거주자우선주차장,1,127.10769,37.547394,40000,10400
329-1 거주자우선주차장,1,127.105805,37.5471789,40000,10400
329-1 거주자우선주차장,1,127.1058074,37.5472719,40000,10400
329-1 거주자우선주차장,1,127.1058145,37.5473686,40000,10400
329-1 거주자우선주차장,1,127.105903,37.546902,40000,10400
329-1 거주자우선주차장,1,127.105876,37.547174,40000,10400
334-2 노상주차장,1,127.106816,37.54697,40000,10400
334-2 노상주차장,1,127.106718,37.546937,40000,10400
353 노상주차장,1,127.1023764,37.5499509,40000,10400
353 노상주차장,1,127.102507,37.5497731,40000,10400
353 노상주차장,1,127.1024907,37.5498015,40000,10400
353 노상주차장,1,127.1024857,37.5496485,40000,10400
장로회신학대학교,20,127.104736,37.5500693,40000,10400
353 노상주차장,1,127.10237,37.549968,40000,10400
353 노상주차장,1,127.102526,37.54951,40000,10400
353 노상주차장,1,127.102522,37.549566,40000,10400
353 노상주차장,1,127.10248,37.549669,40000,10400
353 노상주차장,1,127.10242,37.549837,40000,10400
353 노상주차장,1,127.10253,37.549496,40000,10400
355-2 노상주차장,1,127.1032488,37.5480612,40000,10400
355-2 노상주차장,1,127.1032193,37.5480532,40000,10400
355-2 노상주차장,1,127.1031833,37.5480412,40000,10400
355-2 노상주차장,1,127.1028795,37.547904,40000,10400
355-2 노상주차장,1,127.1029191,37.5479175,40000,10400
355-2 노상주차장,1,127.1029537,37.5479277,40000,10400
355-1 노상주차장,1,127.102828,37.5488481,40000,10400
355-1 노상주차장,1,127.102834,37.548836,40000,10400
355-1 노상주차장,1,127.1028578,37.5487509,40000,10400
355-2 노상주차장,1,127.102986,37.547933,40000,10400
355-2 노상주차장,1,127.103032,37.547957,40000,10400
355-2 노상주차장,1,127.103152,37.548011,40000,10400
355-1 노상주차장,1,127.102858,37.548781,40000,10400
355-1 노상주차장,1,127.102844,37.54882,40000,10400
355-2 노상주차장,1,127.103137,37.547992,40000,10400
355-2 노상주차장,1,127.103341,37.548075,40000,10400
358-15 노상주차장,1,127.1029496,37.5486703,40000,10400
358-15 노상주차장,1,127.1029638,37.5486223,40000,10400
358-15 노상주차장,1,127.102943,37.548569,40000,10400
372-1 노상주차장,1,127.1015669,37.5506693,40000,10400
372-1 노상주차장,1,127.1015906,37.5506612,40000,10400
372-1 노상주차장,1,127.1016131,37.5506533,40000,10400
372-1 노상주차장,1,127.1016315,37.5506491,40000,10400
372-1 노상주차장,1,127.101656,37.550644,40000,10400
372-1 노상주차장,1,127.101701,37.550624,40000,10400
372-1 노상주차장,1,127.1017868,37.5505804,40000,10400
372-1 노상주차장,1,127.1019737,37.5504826,40000,10400
372-1 노상주차장,1,127.101943,37.5505033,40000,10400
372-1 노상주차장,1,127.101759,37.550589,40000,10400
372-1 노상주차장,1,127.101857,37.5505,40000,10400
376-4 노상주차장,1,127.1029047,37.5484001,40000,10400
376-4 노상주차장,1,127.1028741,37.5483803,40000,10400
376-4 노상주차장,1,127.1028361,37.5483604,40000,10400
376-4 노상주차장,1,127.102791,37.548343,40000,10400
389-1 노상주차장,1,127.1014014,37.5475621,40000,10400
389-1 노상주차장,1,127.1014239,37.5475645,40000,10400
389-1 노상주차장,1,127.1015436,37.5475776,40000,10400
389-1 노상주차장,1,127.101514,37.5475722,40000,10400
서울광장초등학교,27,127.101367,37.548263,0,10400
389-1 거주자우선주차장,1,127.101236,37.547485,40000,10400
389-1 거주자우선주차장,1,127.101766,37.547616,40000,10400
389-1 노상주차장,1,127.101274,37.547339,40000,10400
389-1 노상주차장,1,127.101264,37.547401,40000,10400
389-1 노상주차장,1,127.101667,37.547599,40000,10400
389-1 노상주차장,1,127.101478,37.547568,40000,10400
393-21 노상주차장,1,127.1020888,37.5481953,40000,10400
393-21 노상주차장,1,127.1020667,37.5482045,40000,10400
393-21 노상주차장,1,127.10205,37.548213,40000,10400
394-1 노상주차장,1,127.1025501,37.5482104,40000,10400
394-1 노상주차장,1,127.102577,37.5482217,40000,10400
394-1 노상주차장,1,127.1026937,37.5482806,40000,10400
394-1 노상주차장,1,127.102675,37.548273,40000,10400
394-1 노상주차장,1,127.102595,37.548234,40000,10400
광장동현대10차앞,1,127.1017603,37.5455155,40000,10400
광장동현대10차앞,1,127.1015996,37.5453199,40000,10400
광장동현대10차앞,1,127.1018662,37.5456288,40000,10400
광장동현대10차앞,1,127.101843,37.54562,40000,10400
광장동현대10차앞,1,127.101776,37.545546,40000,10400
광장동현대10차앞,1,127.101635,37.545351,40000,10400
정립회관,15,127.097901,37.5505256,40000,10300
29-21 노상주차장,1,127.092478,37.553392,0,10300
광진초등학교,23,127.09121,37.5475846,40000,10300
68-5 노상주차장,1,127.087096,37.545785,0,10300
132-1 노상주차장,1,127.087376,37.545244,0,10300
132-1 노상주차장,1,127.087376,37.545244,0,10300
200-5 노상주차장,1,127.094642,37.541157,40000,10300
201-26 노상주차장,1,127.0937855,37.5421998,40000,10300
201-26 노상주차장,1,127.0939506,37.5423681,40000,10300
201-26 노상주차장,1,127.093999,37.542345,40000,10300
201-26 노상주차장,1,127.09399,37.542467,40000,10300
201-26 노상주차장,1,127.093929,37.542424,40000,10300
201-26 노상주차장,1,127.094047,37.542485,40000,10300
202-18 노상주차장,1,127.0929819,37.5429181,40000,10300
202-18 노상주차장,1,127.093011,37.5428887,40000,10300
202-18 노상주차장,1,127.0930576,37.5428412,40000,10300
202-18 노상주차장,1,127.093035,37.542857,40000,10300
202-10 노상주차장,1,127.095241,37.542127,40000,10300
202-18 노상주차장,1,127.092737,37.543116,40000,10300
205-4 노상주차장,1,127.0925609,37.5422045,40000,10300
205-4 노상주차장,1,127.0929442,37.5419445,40000,10300
205-4 노상주차장,1,127.092903,37.541957,40000,10300
205-11 노상주차장,1,127.0931161,37.5419525,40000,10300
205-4 노상주차장,1,127.092922,37.541879,40000,10300
205-11 노상주차장,1,127.093208,37.541999,40000,10300
206-10 노상주차장,1,127.0946718,37.5412116,40000,10300
206-10 노상주차장,1,127.09443,37.5410577,40000,10300
206-10 노상주차장,1,127.0942753,37.5409838,40000,10300
206-10 노상주차장,1,127.094499,37.541393,40000,10300
206-10 노상주차장,1,127.094644,37.541231,40000,10300
206-10 노상주차장,1,127.094439,37.541462,40000,10300
206-10 노상주차장,1,127.094314,37.541551,40000,10300
206-10 노상주차장,1,127.094339,37.541008,40000,10300
208-2 노상주차장,1,127.09239,37.542224,40000,10300
208-2 노상주차장,1,127.092359,37.54214,40000,10300
209-27 노상주차장,1,127.0912648,37.5402548,40000,10300
209-27 노상주차장,1,127.091193,37.540212,40000,10300
210-51 노상주차장,1,127.092197,37.539738,40000,10300
210-51 노상주차장,1,127.092271,37.539783,40000,10300
211-10 노상주차장,1,127.0944219,37.5405947,40000,10300
211-10 노상주차장,1,127.0943992,37.5406284,40000,10300
211-10 노상주차장,1,127.0939287,37.5407769,40000,10300
211-23 노상주차장,1,127.0924125,37.5408059,40000,10300
211-23 노상주차장,1,127.0923849,37.5407915,40000,10300
211-23 노상주차장,1,127.092348,37.54078,40000,10300
211-10 노상주차장,1,127.093634,37.540604,40000,10300
215-1 노상주차장,1,127.094398,37.53776,40000,10300
219-25 노상주차장,1,127.0909269,37.5388147,40000,10300
219-25 노상주차장,1,127.0908829,37.5389152,40000,10300
219-25 노상주차장,1,127.0908529,37.539019,40000,10300
219-1 노상주차장,1,127.0924169,37.5404122,40000,10300
219-1 노상주차장,1,127.0924438,37.5403781,40000,10300
219-1 노상주차장,1,127.092636,37.540159,40000,10300
219-1 노상주차장,1,127.092589,37.539906,40000,10300
219-25 노상주차장,1,127.090844,37.539173,40000,10300
224-6 노상주차장,1,127.090477,37.542756,40000,10300
225-38 노상주차장,1,127.094147,37.542545,40000,10300
227-13 노상주차장,1,127.0911545,37.5418601,40000,10300
227-13 노상주차장,1,127.0909114,37.5427382,40000,10300
227-13 노상주차장,1,127.090845,37.542713,40000,10300
227-13 노상주차장,1,127.09103,37.54273,40000,10300
229-25 거주자우선주차장,1,127.0914544,37.543681,40000,10300
229-25 거주자우선주차장,1,127.0909842,37.5438477,40000,10300
229-25 거주자우선주차장,1,127.091068,37.543791,40000,10300
229-24 노상주차장,1,127.089324,37.543436,0,10300
229-25 거주자우선주차장,1,127.09111,37.543783,40000,10300
231-18 노상주차장,1,127.0949924,37.541244,40000,10300
231-18 노상주차장,1,127.0950731,37.541159,40000,10300
231-18 노상주차장,1,127.0951845,37.5410487,40000,10300
231-18 노상주차장,1,127.095156,37.54108,40000,10300
233-3 노상주차장,1,127.0943204,37.5419887,40000,10300
233-3 노상주차장,1,127.0943459,37.5419547,40000,10300
233-3 노상주차장,1,127.094355,37.541875,40000,10300
233-3 노상주차장,1,127.094353,37.541928,40000,10300
238-1 노상주차장,1,127.0907649,37.5406979,40000,10300
238-1 노상주차장,1,127.0906296,37.5415531,40000,10300
238-1 노상주차장,1,127.090938,37.5412226,40000,10300
238-2 노상주차장,1,127.0860294,37.5420913,0,10300
238-2 노상주차장,1,127.0861327,37.5420582,0,10300
238-2 노상주차장,1,127.0862197,37.5420352,0,10300
238-2 노상주차장,1,127.0863231,37.5420022,0,10300
238-2 노상주차장,1,127.0865354,37.541936,0,10300
238-2 노상주차장,1,127.0865891,37.5419193,0,10300
238-2 노상주차장,1,127.0866265,37.5419211,0,10300
238-2 노상주차장,1,127.0866723,37.5419094,0,10300
238-2 노상주차장,1,127.0867198,37.5418938,0,10300
238-2 노상주차장,1,127.0868211,37.5418677,0,10300
238-2 노상주차장,1,127.0868646,37.5418551,0,10300
238-2 노상주차장,1,127.0869306,37.5418424,0,10300
238-2 노상주차장,1,127.087065,37.541744,0,10300
238-1 노상주차장,1,127.090748,37.540604,40000,10300
238-1 노상주차장,1,127.090707,37.540435,40000,10300
238-1 노상주차장,1,127.090742,37.540481,40000,10300
238-1 노상주차장,1,127.090927,37.541189,40000,10300
239-32 노상주차장,1,127.095239,37.541003,40000,10300
241-12 노상주차장,1,127.088397,37.540595,40000,10300
241-12 노상주차장,1,127.088314,37.540607,40000,10300
241-12 노상주차장,1,127.088254,37.5406,40000,10300
241-12 노상주차장,1,127.088174,37.540641,40000,10300
241-12 노상주차장,1,127.088123,37.540634,40000,10300
241-12 노상주차장,1,127.088068,37.54069,40000,10300
241-12 노상주차장,1,127.087998,37.540675,40000,10300
254-32 노상주차장,1,127.0914146,37.5392646,40000,10300
254-32 노상주차장,1,127.091383,37.539254,40000,10300
254-32 노상주차장,1,127.091067,37.539236,40000,10300
257-3 노상주차장,1,127.092903,37.543532,40000,10300
257-3 노상주차장,1,127.092986,37.543578,40000,10300
257-12 노상주차장,1,127.092714,37.543421,40000,10300
611 노상주차장,1,127.0945408,37.5377163,40000,10300
611 노상주차장,1,127.0944925,37.5377333,40000,10300
611 노상주차장,1,127.095212,37.538963,40000,10300
611 노상주차장,1,127.095233,37.537924,40000,10300
611 노상주차장,1,127.095188,37.53833,40000,10300
611 노상주차장,1,127.095072,37.537744,40000,10300
611 노상주차장,1,127.095112,37.537769,40000,10300
611 노상주차장,1,127.095206,37.538843,40000,10300
611 노상주차장,1,127.094837,37.537612,40000,10300
611 노상주차장,1,127.095203,37.538591,40000,10300
611 노상주차장,1,127.095185,37.538285,40000,10300
611 노상주차장,1,127.094788,37.537585,40000,10300
611 노상주차장,1,127.095211,37.538681,40000,10300
611 노상주차장,1,127.095191,37.538192,40000,10300
