일련번호(no),카테고리1(cate1),카테고리2(cate2),카테고리3(cate3),주차장고유값(pl_id),시설 주차장명(pl_nm),건물명(build_poi_nm),법정동코드(bemd_code),시도명칭(sido_nm),시군구명칭(sgg_nm),법정읍면동명칭(bemd_nm),번지(beonji),호(ho),새주소-도로명(road_nm),새주소-건물번호(bld_num),일반인이용(pl_open_public),유무료(pl_fee),일반-기본단위시간(pl_basic_rate_min),일반-기본단위금액(pl_basic_rate_amt),일반-추가단위시간(pl_addi_rate_min),일반-추가단위금액(pl_addi_rate_amt),일반-1일(전일)(pl_allday_pass_amt),일반-1월(정기권)(pl_month_pass_amt),주차요금 지불방식(pl_payment_option),평일시작시간(pl_weekday_start_time),평일종료시간(pl_weekday_end_time),토요일시작시간(pl_sat_start_time),토요일종료시간(pl_sat_end_time),공휴일시작시간(pl_holiday_start_time),공휴일종료시간(pl_holiday_end_time),건축물층수-지하(pl_num_floor_underground),건축물층수-지상(pl_num_floor_aboveground),법정주차면수(pl_num_space_by_law),계획주차면수(pl_num_space_planned),전용주차구획-장애인(pl_num_disabled_private),전용주차구획-경차(pl_num_compact_private),전용주차구획-기타(pl_num_other_private),전용주차구획-여성우선(pl_num_women_only),할인정책-장애인(pl_discount_disabled),할인정책-경차(pl_discount_compact),할인정책-다자녀가정(두자녀)(pl_discount_2children),할인정책-다자녀가정(세자녀)(pl_discount_3children),할인정책-국가유공자(pl_discount_person_merit),할인정책-10부제참여차량(pl_discount_ten_part_system),할인정책-요일제차량(pl_discount_weekdayly),할인정책-기타할인율(pl_discount_other_percent),할인정책-기타대상(pl_discount_other_target),전용주차구획-전기차(pl_num_elctronic_only),전용주차구획-나눔카(pl_num_shared_car),충전소-실내외(space_type),충전소 설치 층수(install_floor),이용가능시간(available_time),충전기 상태(charger_state),충전기타입(charger_type),충전기 용량(charger_capacity),충전기 개수(charger_ea),서비스 운영사 기본요금(operation_basic_fee),관리업체명(manager_nm),관리업체전화번호(manager_tel),제조회사(manufacturer),충전기 캐노피(가림막 지붕) 설치 여부(charger_canopy_yn),점유과태료 안내여부(penalty_yn),재생 에너지 활용 여부(renewable_energy_yn),큐알코드결제 가능 여부 (EX_모두페이)(qrcode_yn),특이사항(speific),경도(logitude),위도(latitude),최종작성일(enter_date)
11,레저/체육/공원,지역레저시설,실내골프/스크린골프,5023340,제이앤지케이 주차장,워커힐호텔,10400,서울특별시,광진구,광장동,22,1,워커힐로,177-00,일반인 개방,유료,30,0,10,1000,0,0,카드,00:00,00:00,00:00,00:00,00:00,00:00,0,15,3405,1027,22,2,0,75,0,0,0,0,0,0,0,0,0,23,0,실내,1,00:00-24:00,충전대기,AC단상5핀,완속 7KW,2,,포르쉐,1522-2573,대영채비,있음,있음,없음,가능,,127.111379,37.555212,2022-11-25
12,레저/체육/공원,지역체육시설,헬스/휘트니스,5023340,그랜드워커힐서울헬스클럽 주차장,워커힐호텔,10400,서울특별시,광진구,광장동,22,1,워커힐로,177-00,일반인 개방,유료,30,0,10,1000,0,0,카드,00:00,00:00,00:00,00:00,00:00,00:00,0,15,3405,1027,22,2,0,75,0,0,0,0,0,0,0,0,0,23,0,실내,1,00:00-24:00,충전대기,AC단상5핀,완속 7KW,2,209.2원,에버온,1661-7766,대영채비,있음,있음,없음,가능,,127.111379,37.555212,2022-11-25
13,레저/체육/공원,지역체육시설,헬스/휘트니스,5024379,BODY119 주차장,광장동 신동아 파밀리에,10400,서울특별시,광진구,광장동,250,0,아차산로,599-00,일반인 개방,무료,0,0,0,0,0,0,없음,00:00,00:00,00:00,00:00,00:00,00:00,0,12,353,353,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,실내,B2,00:00-24:00,충전대기,AC단상5핀,완속 7KW,3,80.3원,파워큐브,1833-8017,파워큐브,있음,없음,없음,가능,,127.104826,37.546952,2022-11-25
14,전시/공연,전시/기념관,기타전시/박물관,5067758,박물관 주차장,장로회신학대학교,10400,서울특별시,광진구,광장동,353,0,광장로5길,025-01,일반인 개방,유료,30,1500,15,500,12000,0,카드,00:00,00:00,00:00,00:00,00:00,00:00,0,7,220,220,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,실외,1,00:00-24:00,충전대기,AC3상7핀+DC차데모10핀+DC콤보7핀,완속 24KW 동시,2,77.8원,한전,031-960-6800,중앙제어,있음,있음,없음,가능,,127.102154,37.549915,2022-11-25
15,레저/체육/공원,지역레저시설,실내골프/스크린골프,5023651,쉐르빌스크린골프 주차장,구의동삼성쉐르빌 101동,10300,서울특별시,광진구,구의동,199,18,구의강변로,106-00,일반인 개방,무료,0,0,0,0,0,0,없음,00:00,00:00,00:00,00:00,00:00,00:00,1,24,625,625,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,실내,B2,00:00-24:00,충전대기,DC콤보7핀,급속 50kW,3,253.8원,켑코플러그,1899-2100,피에스택,있음,있음,없음,가능,,127.094805,37.539957,2022-11-25
16,레저/체육/공원,지역체육시설,헬스/휘트니스,5023651,비스코토탈휘트니스강변클럽 주차장,구의동삼성쉐르빌 101동,10300,서울특별시,광진구,구의동,199,18,구의강변로,106-00,일반인 개방,무료,0,0,0,0,0,0,없음,00:00,00:00,00:00,00:00,00:00,00:00,1,24,625,625,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,실내,B5,00:00-24:00,충전대기,AC단상5핀,완속 7kW,5,253.8원,켑코플러그,1899-2100,피에스택,있음,정보없음,없음,가능,,127.094805,37.539957,2022-11-25
17,전시/공연,영화/연극/공연,CGV,5067249,CGV 주차장,테크노-마트21,10300,서울특별시,광진구,구의동,546,4,광나루로56길,085-00,미개방,유료,30,0,30,2000,0,0,"현금, 카드",05:00,03:00,00:00,00:00,00:00,00:00,6,39,2184,2184,71,0,0,0,0,0,0,0,0,0,0,0,0,7,0,실내,B4,00:00-24:00,충전대기,AC단상5핀,완속 7kW,1,324.4원,켑코플러그,1899-2100,씨어스,있음,있음,없음,가능,,127.095862,37.535675,2022-11-25
18,문화관광/명소,여행안내/예약,항공사/여행사,5067249,료칸클럽닷컴 주차장,테크노-마트21,10300,서울특별시,광진구,구의동,546,4,광나루로56길,085-00,미개방,유료,30,0,30,2000,0,0,"현금, 카드",05:00,03:00,00:00,00:00,00:00,00:00,6,39,2184,2184,71,0,0,0,0,0,0,0,0,0,0,0,0,7,0,실내,B4,00:00-24:00,충전대기,AC3상7핀+DC차데모10핀+DC콤보7핀,급속 50kW,1,324.4원,켑코플러그,1899-2100,시그넷시스템,있음,있음,없음,가능,,127.095862,37.535675,2022-11-25
19,문화관광/명소,여행안내/예약,항공사/여행사,5067249,대성아이엠지코리아 주차장,테크노-마트21,10300,서울특별시,광진구,구의동,546,4,광나루로56길,085-00,미개방,유료,30,0,30,2000,0,0,"현금, 카드",05:00,03:00,00:00,00:00,00:00,00:00,6,39,2184,2184,71,0,0,0,0,0,0,0,0,0,0,0,0,7,0,실내,B4,00:00-24:00,충전대기,DC콤보7핀,급속 50kW,1,324.4원,켑코플러그,1899-2100,시그넷시스템,있음,있음,없음,가능,,127.095862,37.535675,2022-11-25
20,문화관광/명소,여행안내/예약,항공사/여행사,5067249,우즈베키스탄가이드 주차장,테크노-마트21,10300,서울특별시,광진구,구의동,546,4,광나루로56길,085-00,미개방,유료,30,0,30,2000,0,0,"현금, 카드",05:00,03:00,00:00,00:00,00:00,00:00,6,39,2184,2184,71,0,0,0,0,0,0,0,0,0,0,0,0,7,0,실내,B4,00:00-24:00,충전대기,220V,완속 3kW,82,80.3원,파워큐브,1833-8017,파워큐브,있음,없음,없음,불가,,127.095862,37.535675,2022-11-25
21,문화관광/명소,여행안내/예약,항공사/여행사,5067249,투어아트 주차장,테크노-마트21,10300,서울특별시,광진구,구의동,546,4,광나루로56길,085-00,미개방,유료,30,0,30,2000,0,0,"현금, 카드",05:00,03:00,00:00,00:00,00:00,00:00,6,39,2184,2184,71,0,0,0,0,0,0,0,0,0,0,0,0,7,0,실내,B4,00:00-24:00,충전대기,DC콤보7핀,급속 50kW,1,324.4원,켑코플러그,1899-2100,시그넷시스템,있음,있음,없음,가능,,127.095862,37.535675,2022-11-25
