"동별(1)",동별(2),동별(3),2022,2022,2022
"동별(1)",동별(2),동별(3),인구 (명),면적 (㎢),인구밀도 (명/㎢)
"합계",소계,소계,9667669,605.24,15973
"합계",종로구,소계,152211,23.91,6366
"합계",종로구,사직동,9355,1.23,7606
"합계",종로구,삼청동,2642,1.49,1773
"합계",종로구,부암동,9536,2.27,4201
"합계",종로구,평창동,17858,8.87,2013
"합계",종로구,무악동,8052,0.36,22367
"합계",종로구,교남동,9994,0.35,28554
"합계",종로구,가회동,4065,0.54,7528
"합계",종로구,종로1.2.3.4가동,8700,2.35,3702
"합계",종로구,종로5.6가동,5817,0.60,9695
"합계",종로구,이화동,7631,0.78,9783
"합계",종로구,창신1동,5383,0.31,17365
"합계",종로구,창신2동,8796,0.26,33831
"합계",종로구,창신3동,6606,0.23,28722
"합계",종로구,숭인1동,6057,0.23,26335
"합계",종로구,숭인2동,10509,0.35,30026
"합계",종로구,청운효자동,11818,2.57,4598
"합계",종로구,혜화동,19392,1.12,17314
"합계",중구,소계,130785,9.96,13131
"합계",중구,소공동,3578,0.95,3766
"합계",중구,회현동,5222,0.84,6217
"합계",중구,명동,3638,0.99,3675
"합계",중구,필동,4816,1.14,4225
"합계",중구,장충동,5326,1.36,3916
"합계",중구,광희동,6682,0.74,9030
"합계",중구,을지로동,1912,0.60,3187
"합계",중구,신당5동,10513,0.39,26956
"합계",중구,황학동,13459,0.33,40785
"합계",중구,중림동,12338,0.48,25704
"합계",중구,신당동,9087,0.55,16522
"합계",중구,다산동,13954,0.51,27361
"합계",중구,약수동,16610,0.48,34604
"합계",중구,청구동,13451,0.34,39562
"합계",중구,동화동,10199,0.26,39227
"합계",용산구,소계,233284,21.87,10667
"합계",용산구,후암동,16812,0.86,19549
"합계",용산구,용산2가동,10333,1.96,5272
"합계",용산구,남영동,7552,1.19,6346
"합계",용산구,원효로2동,13795,0.71,19430
"합계",용산구,효창동,10888,0.44,24745
"합계",용산구,용문동,11664,0.28,41657
"합계",용산구,이촌1동,25707,2.86,8988
"합계",용산구,이촌2동,8094,1.22,6634
"합계",용산구,이태원1동,7947,0.57,13942
"합계",용산구,이태원2동,10427,0.86,12124
"합계",용산구,서빙고동,13458,2.80,4806
"합계",용산구,보광동,14060,0.71,19803
"합계",용산구,청파동,19833,0.90,22037
"합계",용산구,원효로1동,17774,0.59,30125
"합계",용산구,한강로동,22886,2.90,7892
"합계",용산구,한남동,22054,3.01,7327
"합계",성동구,소계,288234,16.86,17096
"합계",성동구,왕십리2동,16688,0.41,40702
"합계",성동구,마장동,22706,1.05,21625
"합계",성동구,사근동,14082,1.10,12802
"합계",성동구,행당1동,13996,0.59,23722
"합계",성동구,행당2동,23148,0.42,55114
"합계",성동구,응봉동,15100,0.57,26491
"합계",성동구,금호1가동,15137,0.46,32907
"합계",성동구,금호4가동,14228,0.84,16938
"합계",성동구,성수1가1동,16407,1.97,8328
"합계",성동구,성수1가2동,12322,0.89,13845
"합계",성동구,성수2가1동,15716,1.17,13432
"합계",성동구,성수2가3동,10520,1.03,10214
"합계",성동구,송정동,10464,0.75,13952
"합계",성동구,용답동,12551,2.31,5433
"합계",성동구,왕십리도선동,26903,0.72,37365
"합계",성동구,금호2.3가동,22423,0.64,35036
"합계",성동구,옥수동,25843,1.94,13321
"합계",광진구,소계,351252,17.06,20589
"합계",광진구,화양동,27082,1.16,23347
"합계",광진구,군자동,21524,0.74,29086
"합계",광진구,중곡1동,15663,0.62,25263
"합계",광진구,중곡2동,21336,0.55,38793
"합계",광진구,중곡3동,16177,0.60,26962
"합계",광진구,중곡4동,28405,2.32,12244
"합계",광진구,능동,11561,1.10,10510
"합계",광진구,구의1동,24049,0.56,42945
"합계",광진구,구의2동,26573,1.39,19117
"합계",광진구,구의3동,28440,1.02,27882
"합계",광진구,광장동,34362,2.39,14377
"합계",광진구,자양1동,22709,0.57,39840
"합계",광진구,자양2동,24253,1.68,14436
"합계",광진구,자양3동,27858,1.20,23215
"합계",광진구,자양4동,21260,1.16,18328
"합계",동대문구,소계,353601,14.22,24866
"합계",동대문구,회기동,13536,0.76,17811
"합계",동대문구,휘경1동,16339,0.63,25935
"합계",동대문구,휘경2동,24666,1.05,23491
"합계",동대문구,청량리동,19094,1.20,15912
"합계",동대문구,용신동,36137,1.61,22445
"합계",동대문구,제기동,26484,1.18,22444
"합계",동대문구,전농1동,29220,1.19,24555
"합계",동대문구,전농2동,18629,0.86,21662
"합계",동대문구,답십리2동,28055,0.85,33006
"합계",동대문구,장안1동,38677,1.25,30942
"합계",동대문구,장안2동,32685,1.09,29986
"합계",동대문구,이문1동,21366,1.04,20544
"합계",동대문구,이문2동,20183,0.69,29251
"합계",동대문구,답십리1동,28530,0.81,35222
"합계",중랑구,소계,390140,18.50,21089
"합계",중랑구,면목2동,24206,0.77,31436
"합계",중랑구,면목4동,18746,0.87,21547
"합계",중랑구,면목5동,14836,0.70,21194
"합계",중랑구,면목7동,21798,1.20,18165
"합계",중랑구,상봉1동,23714,0.88,26948
"합계",중랑구,상봉2동,20612,0.65,31711
