ADM_DR_NM,평균
광장동,3.6
구의1동,1.4
구의2동,1.4
구의3동,3.6
자양1동,2.0
자양2동,2.4
자양3동,2.4
자양4동,2.6
화양동,3.0
군자동,3.0
중곡1동,1.4
중곡2동,1.2
중곡3동,1.8
중곡4동,1.6
능동,3.0
