"아이디","geometry","관리번호","관할경찰서","구","동","시설명","시설구분","주소","x좌표","y좌표"
"2293","MULTIPOINT(961741.740180411 1948449.92411451)","0","광진경찰서","광진구","","신양초등학교","초등학교","서울특별시 광진구 능동로 42","127.066967","37.534572"
"2294","MULTIPOINT(961672.680284324 1948360.93048555)","0","광진경찰서","광진구","","인애유치원","유치원","서울특별시 광진구 능동로4길 13","127.06619","37.533767"
"2295","MULTIPOINT(961337.702023184 1948031.0852523)","0","광진경찰서","광진구","","으뜸어린이집","어린이집","서울특별시 광진구 능동로4길 88 (자양동)","127.062416","37.53078"
"2296","MULTIPOINT(962807.264339819 1952414.09097303)","0","광진경찰서","광진구","","동서울유치원","유치원","서울특별시 광진구 답십리로78길 26 (중곡동)","127.078826","37.570346"
"2297","MULTIPOINT(961930.854753828 1950636.92291417)","0","광진경찰서","광진구","","선양유치원","유치원","서울특별시 광진구 동일로 256 (군자동)","127.068994","37.554292"
"2298","MULTIPOINT(962738.815150333 1952451.34340251)","0","광진경찰서","광진구","","예아랑어린이집","어린이집","서울특별시 광진구 동일로 456 성수교회 2층 1호(중곡동)","127.078049","37.570679"
"2299","MULTIPOINT(962159.202540347 1952481.37030943)","0","광진경찰서","광진구","","중곡샛별어린이집","어린이집","서울특별시 광진구 동일로 458 (중곡동)","127.071484","37.570926"
"2300","MULTIPOINT(962721.78382172 1951942.9500309)","0","광진경찰서","광진구","","중마초등학교","초등학교","서울특별시 광진구 동일로 72길 43","127.077882","37.566096"
"2301","MULTIPOINT(960547.516441548 1948623.59313438)","0","광진경찰서","광진구","","아이세계어린이집","어린이집","서울특별시 광진구 동일로4가길 2 (자양동)","127.053441","37.536087"
"2302","MULTIPOINT(962554.947562798 1951940.70553238)","0","광진경찰서","광진구","","경하유치원","유치원","서울특별시 광진구 동일로72길 9 (중곡동)","127.075993","37.566069"
"2303","MULTIPOINT(962263.239908284 1952366.95388065)","0","광진경찰서","광진구","","상명어린이집","어린이집","서울특별시 광진구 동일로80길 30 (중곡동)","127.072668","37.569899"
"2304","MULTIPOINT(962252.058370254 1948410.64481296)","0","광진경찰서","광진구","","대원(구.우성)유치원","유치원","서울특별시 광진구 뚝섬로 41길 20","127.072745","37.534239"
"2305","MULTIPOINT(961143.943489013 1948656.06335049)","0","광진경찰서","광진구","","성수아름유치원","유치원","서울특별시 광진구 뚝섬로 476-15 (자양동)","127.06019","37.536405"
"2306","MULTIPOINT(961423.120567724 1948464.04525442)","0","광진경찰서","광진구","","동자초등학교","초등학교","서울특별시 광진구 뚝섬로 561","127.06336","37.534686"
"2307","MULTIPOINT(963063.591681923 1948255.99969677)","0","광진경찰서","광진구","","성산유치원","유치원","서울특별시 광진구 뚝섬로 59길 18(자양동)","127.081938","37.532878"
"2308","MULTIPOINT(961343.15660956 1948747.66348726)","0","광진경찰서","광진구","","정신유치원","유치원","서울특별시 광진구 뚝섬로23길 27","127.06244","37.537239"
"2309","MULTIPOINT(961955.550260187 1948507.5220686)","0","광진경찰서","광진구","","한일유치원","유치원","서울특별시 광진구 뚝섬로35길 16-20","127.069384","37.5351"
"2310","MULTIPOINT(961846.340914066 1948313.53373446)","0","광진경찰서","광진구","","선린어린이집","어린이집","서울특별시 광진구 뚝섬로43길 14 (자양동)","127.068158","37.533347"
"2311","MULTIPOINT(962974.361312439 1948059.24539584)","0","광진경찰서","광진구","","성자초등학교","초등학교","서울특별시 광진구 뚝섬로56길 7","127.080938","37.531101"
"2312","MULTIPOINT(961779.518725143 1950803.26183773)","0","광진경찰서","광진구","","꿈동산몬테소리어린이집","어린이집","서울특별시 광진구 면목로4길 3 (군자동)","127.067272","37.555785"
"2313","MULTIPOINT(962093.728606805 1950848.86273518)","0","광진경찰서","광진구","","선미유치원","유치원","서울특별시 광진구 면목로5길 54 (군자동)","127.070827","37.556209"
"2314","MULTIPOINT(961370.568595801 1949360.73803341)","0","광진경찰서","광진구","","윤진유치원","유치원","서울특별시 광진구 아차산로 21길 15 (화양동)","127.062718","37.542766"
"2315","MULTIPOINT(962635.53369167 1948711.35120443)","0","광진경찰서","광진구","","자양초등학교","초등학교","서울특별시 광진구 아차산로 44길 26","127.07707","37.536965"
"2316","MULTIPOINT(962658.15412629 1948692.3886193)","0","광진경찰서","광진구","","자양병설유치원","유치원","서울특별시 광진구 아차산로 44길 26(자양동)","127.077327","37.536795"
"2317","MULTIPOINT(962575.739341397 1948911.43479947)","0","광진경찰서","광진구","","자양하나유치원","유치원","서울특별시 광진구 아차산로41길 22-5","127.076383","37.538766"
"2318","MULTIPOINT(962879.773740749 1948622.27590548)","0","광진경찰서","광진구","","자양도담유치원","유치원","서울특별시 광진구 아차산로44가길 5 (화양동)","127.079839","37.536172"
"2319","MULTIPOINT(962680.63136746 1949054.5275814)","0","광진경찰서","광진구","","명성어린이집","어린이집","서울특별시 광진구 아차산로55길 59 (구의동)","127.077563","37.54006"
"2320","MULTIPOINT(963234.11000652 1952424.50386508)","0","광진경찰서","광진구","","미파유치원","유치원","서울특별시 광진구 용마산로 185 (중곡동)","127.083659","37.570457"
"2321","MULTIPOINT(963472.665598434 1952010.50620484)","0","광진경찰서","광진구","","용곡초등학교","초등학교","서울특별시 광진구 용마산로22길 82","127.086381","37.566735"
"2322","MULTIPOINT(962571.034132436 1950885.97230844)","0","광진경찰서","광진구","","성심어린이집","어린이집","서울특별시 광진구 용마산로3길 60 (중곡동)","127.076229","37.556563"
"2323","MULTIPOINT(962301.427992529 1947939.00970393)","0","광진경찰서","광진구","","신자초등학교","초등학교","서울특별시 광진구 자양동 뚝섬로46길 64","127.073328","37.52999"
"2324","MULTIPOINT(962298.967632741 1947942.01641565)","0","광진경찰서","광진구","","신자병설유치원","유치원","서울특별시 광진구 자양동 뚝섬로46길 64","127.0733","37.530017"
"2325","MULTIPOINT(963392.478104394 1949787.37830567)","0","광진경찰서","광진구","","한국켄트외국인학교","외국인학교","서울특별시 광진구 자양로35길 13(구의동)","127.085584","37.546694"
"2326","MULTIPOINT(963028.372764433 1948065.10695233)","0","광진경찰서","광진구","","자양유치원","유치원","서울특별시 광진구 자양로5길 36","127.081549","37.531156"
"2327","MULTIPOINT(961696.433256965 1948262.07860748)","0","광진경찰서","광진구","","자양어린이집","어린이집","서울특별시 광진구 자양번영로 35 (자양동)","127.066464","37.532877"
"2328","MULTIPOINT(962958.279714113 1951069.8493186)","0","광진경찰서","광진구","","예일유치원","유치원","서울특별시 광진구 천호대로 111길 41","127.080604","37.558236"
"2329","MULTIPOINT(963073.477723437 1951035.49735965)","0","광진경찰서","광진구","","용마초등학교","초등학교","서울특별시 광진구 천호대로 113길 10","127.08191","37.557931"
"2330","MULTIPOINT(961552.792597804 1950957.74827668)","0","광진경찰서","광진구","","예지어린이집","어린이집","서울특별시 광진구 천호대로102길 41 (군자동)","127.064697","37.557168"
"2331","MULTIPOINT(962301.806852807 1950553.01879965)","0","광진경찰서","광진구","","능동어린이집","어린이집","서울특별시 광진구 천호대로114길 47 (능동)","127.073198","37.553551"
"2332","MULTIPOINT(963323.524627139 1950096.00276592)","0","광진경찰서","광진구","","경복초등학교","초등학교","서울특별시 광진구 천호대로130길 58","127.084788","37.549473"
"2333","MULTIPOINT(963376.67204863 1950109.30367533)","0","광진경찰서","광진구","","선화유치원","유치원","서울특별시 광진구 천호대로130길 58 (능동, 경복초등학교)","127.085389","37.549595"
"2798","MULTIPOINT(964322.849696383 1948903.85884826)","0","광진경찰서","광진구","","프라임유치원","유치원","서울특별시 광진구 광나루로56길 5","127.096159","37.538767"
"2799","MULTIPOINT(964332.802020648 1949513.90918743)","0","광진경찰서","광진구","","양진병설유치원","유치원","서울특별시 광진구 광장동 워커힐길32","127.096242","37.544266"
"2800","MULTIPOINT(964331.599109863 1949521.79153608)","0","광진경찰서","광진구","","양진초등학교","초등학교","서울특별시 광진구 광장동 워커힐로 32","127.096228","37.544337"
