관리번호,위도,경도
광나루로 아11-6,37.5408978,127.0959669
광나루로 아11-7,37.54070336,127.0962153
광나루로 아11-8,37.54050893,127.0964638
광나루로 아11-9,37.54031449,127.0967122
광나루로 아18-10,37.5418154,127.0958365
광나루로 아18-11,37.5419421,127.095463
광나루로 아18-12,37.5421005,127.0951784
광나루로 아18-13,37.5423321,127.0949491
광나루로 아18-14,37.5425347,127.0947512
광나루로 아18-15,37.5426978,127.0945785
광나루로 아18-7,37.5415778,127.0964751
광나루로 아18-8,37.5414867,127.0959373
광나루로 아18-9,37.541675,127.0956163
광나루로1-1,37.5482579,127.0676837
광나루로1-10,37.5479091,127.070912
광나루로1-11,37.5478719,127.0712321
광나루로1-12,37.5478302,127.071521
광나루로1-13,37.5477594,127.0719034
광나루로1-14,37.5476997,127.0722123
광나루로1-15,37.5476088,127.0726204
광나루로1-16,37.5475354,127.0728897
광나루로1-17,37.5474598,127.0731816
광나루로1-18,37.5473843,127.0734876
광나루로1-19,37.5473067,127.0738079
광나루로1-2,37.5482386,127.0679668
광나루로1-3,37.5481995,127.0683689
광나루로1-4,37.5481492,127.0687824
광나루로1-5,37.5481144,127.069125
광나루로1-6,37.5480571,127.069482
광나루로1-7,37.5480225,127.0698897
광나루로1-8,37.5479812,127.0702833
광나루로1-9,37.547942,127.0706684
광나루로10-1,37.5450583,127.0898529
광나루로10-10,37.5452296,127.0863248
광나루로10-11,37.545261,127.0858912
광나루로10-12,37.5452566,127.085685
광나루로10-2,37.5450615,127.0894794
광나루로10-3,37.545087,127.089052
광나루로10-4,37.5451081,127.0886413
광나루로10-5,37.5451315,127.0882508
광나루로10-6,37.545157,127.0877949
광나루로10-7,37.5451758,127.0873505
광나루로10-8,37.5452082,127.0869627
광나루로10-9,37.5452115,127.0866428
광나루로11-1,37.5446017,127.090744
광나루로11-10,37.5432097,127.0935448
광나루로11-11,37.5430099,127.0937554
광나루로11-12,37.542691,127.0940769
광나루로11-13,37.5424014,127.0943671
광나루로11-14,37.5421634,127.09464
광나루로11-15,37.5418669,127.0949218
광나루로11-16,37.541649,127.0951296
광나루로11-17,37.5414357,127.0953345
광나루로11-18,37.541256,127.0954883
광나루로11-2,37.5445328,127.0909992
광나루로11-3,37.5444167,127.0913337
광나루로11-4,37.5443165,127.0917078
광나루로11-5,37.5442027,127.0920141
광나루로11-6,37.5440731,127.0923459
광나루로11-7,37.5438873,127.0927006
광나루로11-8,37.54367,127.0930556
광나루로11-9,37.5434881,127.0932632
광나루로12-1,37.5430974,127.0946896
광나루로12-10,37.5446407,127.0916277
광나루로12-11,37.5447746,127.0912384
광나루로12-12,37.5448491,127.0909469
광나루로12-13,37.5449504,127.0905873
광나루로12-14,37.5450234,127.0902013
광나루로12-2,37.5432496,127.0940116
광나루로12-3,37.5434405,127.0938097
광나루로12-4,37.5436762,127.093548
광나루로12-5,37.5439143,127.0933118
광나루로12-6,37.5440803,127.0930958
광나루로12-7,37.5442896,127.0927075
광나루로12-8,37.5444033,127.0923644
광나루로12-9,37.5445252,127.0919926
광나루로13-1,37.5396026,127.0983257
광나루로13-2,37.5398898,127.0979563
광나루로13-3,37.5401544,127.0975983
광나루로13-4,37.5403922,127.0972857
광나루로13-5,37.5406391,127.0969844
광나루로13-6,37.5409116,127.0965985
광나루로13-7,37.5410596,127.0964216
광나루로13써치등6개,37.5411971,127.0962038
광나루로2-1,37.5483137,127.0703427
광나루로2-2,37.5483347,127.0699933
광나루로2-3,37.5483853,127.0694517
광나루로2-4,37.5484018,127.0692397
광나루로2-5,37.5484547,127.0687762
광나루로2-6,37.5484905,127.0684464
광나루로2-7,37.5485252,127.0680868
광나루로2-8,37.5485455,127.0678305
광나루로3-1,37.5471551,127.0742616
광나루로3-2,37.5470974,127.0745138
광나루로3-2,37.5471577,127.074401
광나루로3-3,37.5469811,127.0747664
광나루로3-4,37.5469231,127.0749139
광나루로3-5,37.5467779,127.0752713
광나루로3-6,37.546599,127.0756572
광나루로3-7,37.5465139,127.0758133
