행정동코드,총생활인구수
광장동,36052.58589041667
구의1동,24941.159032651514
구의2동,21648.997242222224
구의3동,30926.011957222225
군자동,22148.570882222222
능동,16506.987983611114
자양1동,25014.111149027776
자양2동,21081.83350625
자양3동,23498.113722777776
자양4동,25092.450374722222
중곡1동,15085.869390972222
중곡2동,18021.119640833334
중곡3동,15156.45346972222
중곡4동,25392.536160555555
화양동,43036.618861944444
