"자치구","안심 주소","위도","경도","CCTV 수량","수정 일시"
"광진구","공원-구의2-057-01","37.5459","127.0885","1","2022-12-01"
"광진구","공원-구의2-057-02","37.5459","127.0885","1","2022-12-01"
"광진구","공원-구의2-057-03","37.5459","127.0885","1","2022-12-01"
"광진구","공원-구의2-057-04","37.5459","127.0885","1","2022-12-01"
"광진구","공원-구의2-057-비상벨","37.5459","127.0885","1","2022-12-01"
"광진구","공원-구의2-085-01","37.5523","127.0998","1","2022-12-01"
"광진구","공원-구의2-085-02","37.5523","127.0998","1","2022-12-01"
"광진구","공원-구의2-085-03","37.5523","127.0998","1","2022-12-01"
"광진구","공원-구의2-085-비상벨","37.5523","127.0998","1","2022-12-01"
"광진구","공원-구의2-086-01","37.5519","127.1008","1","2022-12-01"
"광진구","공원-구의2-086-02","37.5519","127.1008","1","2022-12-01"
"광진구","공원-구의2-086-03","37.5519","127.1008","1","2022-12-01"
"광진구","공원-구의2-086-비상벨","37.5519","127.1008","1","2022-12-01"
"광진구","공원-구의2-087-01","37.5554","127.0985","1","2022-12-01"
"광진구","공원-구의2-087-02","37.5554","127.0985","1","2022-12-01"
"광진구","공원-구의2-087-03","37.5554","127.0985","1","2022-12-01"
"광진구","공원-구의2-087-비상벨","37.5554","127.0985","1","2022-12-01"
"광진구","공원-구의2-088-01","37.5533","127.1012","1","2022-12-01"
"광진구","공원-구의2-088-02","37.5533","127.1012","1","2022-12-01"
"광진구","공원-구의2-088-03","37.5533","127.1012","1","2022-12-01"
"광진구","공원-구의2-088-비상벨","37.5533","127.1012","1","2022-12-01"
"광진구","공원-구의2-089-01","37.5494","127.0948","1","2022-12-01"
"광진구","공원-구의2-089-02","37.5494","127.0948","1","2022-12-01"
"광진구","공원-구의2-089-03","37.5494","127.0948","1","2022-12-01"
"광진구","공원-구의2-089-비상벨","37.5494","127.0948","1","2022-12-01"
"광진구","공원-구의3-002-비상벨","37.5413","127.0943","1","2022-12-01"
"광진구","공원-구의3-003-01","37.5381","127.0924","1","2022-12-01"
"광진구","공원-구의3-003-비상벨","37.5381","127.0924","1","2022-12-01"
"광진구","공원-구의3-004-01","37.5407","127.0907","1","2022-12-01"
"광진구","공원-구의3-004-비상벨","37.5407","127.0907","1","2022-12-01"
"광진구","공원-구의3-005-01","37.5430","127.0911","1","2022-12-01"
"광진구","공원-구의3-005-비상벨","37.5430","127.0911","1","2022-12-01"
"광진구","공원-구의3-006-01","37.5368","127.0948","1","2022-12-01"
"광진구","공원-구의3-006-비상벨","37.5368","127.0948","1","2022-12-01"
"광진구","공원-구의3-007-01","37.5374","127.0945","1","2022-12-01"
"광진구","공원-구의3-007-비상벨","37.5374","127.0945","1","2022-12-01"
"광진구","공원-구의3-041-02","37.5367","127.0903","1","2022-12-01"
"광진구","공원-구의3-041-03","37.5367","127.0903","1","2022-12-01"
"광진구","공원-구의3-098-02","37.5370","127.0946","1","2022-12-01"
"광진구","공원-구의3-099-02","37.5429","127.0911","1","2022-12-01"
"광진구","공원-구의3-099-03","37.5429","127.0911","1","2022-12-01"
"광진구","공원-군자-008-01","37.5561","127.0737","1","2022-12-01"
"광진구","공원-군자-008-비상벨","37.5561","127.0737","1","2022-12-01"
"광진구","공원-군자-039-02","37.5544","127.0730","1","2022-12-01"
"광진구","공원-군자-039-03","37.5544","127.0730","1","2022-12-01"
"광진구","공원-군자-039-04","37.5544","127.0730","1","2022-12-01"
"광진구","공원-능동-009-01","37.5525","127.0830","1","2022-12-01"
"광진구","공원-능동-009-02","37.5525","127.0830","1","2022-12-01"
"광진구","공원-능동-009-03","37.5525","127.0830","1","2022-12-01"
"광진구","공원-능동-009-비상벨","37.5525","127.0830","1","2022-12-01"
"광진구","공원-능동-010-01","37.5536","127.0793","1","2022-12-01"
"광진구","공원-능동-010-비상벨","37.5536","127.0793","1","2022-12-01"
"광진구","공원-능동-011-01","37.5538","127.0794","1","2022-12-01"
"광진구","공원-능동-011-비상벨","37.5538","127.0794","1","2022-12-01"
"광진구","공원-능동-096-02","37.5493","127.0824","1","2022-12-01"
"광진구","공원-능동-096-03","37.5493","127.0824","1","2022-12-01"
"광진구","공원-능동-096-04","37.5493","127.0824","1","2022-12-01"
"광진구","공원-자양1-012-01","37.5344","127.0822","1","2022-12-01"
"광진구","공원-자양1-012-비상벨","37.5344","127.0822","1","2022-12-01"
"광진구","공원-자양1-013-01","37.5359","127.0777","1","2022-12-01"
"광진구","공원-자양1-013-비상벨","37.5359","127.0777","1","2022-12-01"
"광진구","공원-자양1-018-01","37.5387","127.0817","1","2022-12-01"
"광진구","공원-자양1-018-비상벨","37.5387","127.0817","1","2022-12-01"
"광진구","공원-자양1-042-02","37.5333","127.0781","1","2022-12-01"
"광진구","공원-자양1-042-03","37.5333","127.0781","1","2022-12-01"
"광진구","공원-자양1-091-01","37.5331","127.0784","1","2022-12-01"
"광진구","공원-자양1-091-02","37.5331","127.0784","1","2022-12-01"
"광진구","공원-자양1-091-03","37.5331","127.0784","1","2022-12-01"
"광진구","공원-자양1-091-비상벨","37.5331","127.0784","1","2022-12-01"
"광진구","공원-자양1-100-02","37.5358","127.0777","1","2022-12-01"
"광진구","공원-자양1-100-03","37.5358","127.0777","1","2022-12-01"
"광진구","공원-자양2-014-01","37.5322","127.0878","1","2022-12-01"
"광진구","공원-자양2-014-비상벨","37.5322","127.0878","1","2022-12-01"
"광진구","공원-자양2-032-01","37.5302","127.0823","1","2022-12-01"
"광진구","공원-자양2-032-02","37.5302","127.0823","1","2022-12-01"
"광진구","공원-자양2-032-03","37.5302","127.0823","1","2022-12-01"
"광진구","공원-자양2-032-비상벨","37.5302","127.0823","1","2022-12-01"
"광진구","공원-자양2-043-02","37.5309","127.0886","1","2022-12-01"
"광진구","공원-자양2-043-03","37.5309","127.0886","1","2022-12-01"
"광진구","공원-자양2-043-04","37.5309","127.0886","1","2022-12-01"
"광진구","공원-자양2-101-02","37.5320","127.0878","1","2022-12-01"
"광진구","공원-자양2-101-03","37.5320","127.0878","1","2022-12-01"
"광진구","공원-자양3-015-01","37.5337","127.0699","1","2022-12-01"
"광진구","공원-자양3-015-비상벨","37.5337","127.0699","1","2022-12-01"
"광진구","공원-자양3-044-01","37.5322","127.0744","1","2022-12-01"
"광진구","공원-자양3-044-02","37.5322","127.0744","1","2022-12-01"
"광진구","공원-자양3-044-03","37.5322","127.0744","1","2022-12-01"
