일련번호(no),주차장고유값(pl_id),지번주차장이름(pl_nm),구코드(sgg_code),법정동코드(bemd_code),주소(지번)(lot_num_address),기본단위시간(pl_basic_rate_min),기본단위금액(pl_basic_rate_amt),추가단위시간(pl_addi_rate_min),추가단위금액(pl_addi_rate_amt),1일(전일)금액(pl_allday_pass_amt),1월(정기권)금액(pl_month_pass_amt),거주자-주간(월)금액(resident_day_month_amt),거주자-야간(월)금액(resident_night_month_amt),거주자-전일(월)금액(resident_allday_month_amt),경도(longitude),위도(latitude)
35,4810116,122 노상주차장,11215,10700,서울특별시 광진구 화양동 122 화양동주민센터,0,0,0,0,0,0,30000,20000,40000,127.071316,37.546751
36,4837755,132-12 노상주차장,11215,10700,서울특별시 광진구 화양동 132-12,0,0,0,0,0,0,30000,20000,40000,127.071445,37.546742
37,4758136,110-410 노상주차장,11215,10700,서울특별시 광진구 화양동 110-40,0,0,0,0,0,0,30000,20000,40000,127.07152,37.546716
38,4841828,122 노상주차장,11215,10700,서울특별시 광진구 화양동 122 화양동주민센터,0,0,0,0,0,0,30000,20000,40000,127.071538,37.546646
39,4756444,122 노상주차장,11215,10700,서울특별시 광진구 화양동 122 화양동주민센터,0,0,0,0,0,0,30000,20000,40000,127.071498,37.546621
40,4757997,122 노상주차장,11215,10700,서울특별시 광진구 화양동 122 화양동주민센터,0,0,0,0,0,0,30000,20000,40000,127.071519,37.546583
41,4757996,122 노상주차장,11215,10700,서울특별시 광진구 화양동 122 화양동주민센터,0,0,0,0,0,0,30000,20000,40000,127.071538,37.546491
42,4820453,122 노상주차장,11215,10700,서울특별시 광진구 화양동 122 화양동주민센터,0,0,0,0,0,0,30000,20000,40000,127.071556,37.546463
43,4820650,110-11 노상주차장,11215,10700,서울특별시 광진구 화양동 110-11,0,0,0,0,0,0,30000,20000,40000,127.071534,37.546388
44,4757995,110-11 노상주차장,11215,10700,서울특별시 광진구 화양동 110-11,0,0,0,0,0,0,30000,20000,40000,127.07158,37.546308
45,4805064,111-139 노상주차장,11215,10700,서울특별시 광진구 화양동 111-139,0,0,0,0,0,0,30000,20000,40000,127.071817,37.546716
