일련번호(no),주차장고유값(pl_id),주차장이름(pl_nm),구코드(sgg_code),주차면수-대시민(pl_area_citizen),주차면수-평면식(pl_area_plane),주차면수-자주식-면수(pl_area_self_area),주차면수-자주식-층(pl_area_self_floor),주차면수-자주식-단(pl_area_self_step),주차면수-기계식-면수(pl_area_mechanic_area),주차면수-기계식-층(pl_area_mechanic_floor),주차면수-기계식-단(pl_area_mechanic_step),기계식주차장현황-계(pl_mechanic_total),기계식주차장현황-2단식(pl_mechanic_second_step),기계식주차장현황-다단식(pl_mechanic_multi_step),기계식주차장현황-수평순환식(pl_mechanic_horizon),기계식주차장현황-수직순환식(pl_mechanic_vertical),기계식주차장현황-기타(pl_mechanic_etc),법정동코드(bemd_code),주소(지번)(lot_num_address),기본단위시간(pl_basic_rate_min),기본단위금액(pl_basic_rate_amt),추가단위시간(pl_addi_rate_min),추가단위금액(pl_addi_rate_amt),1일(전일)금액(pl_allday_pass_amt),1월(정기권)금액(pl_month_pass_amt),경도(longitude),위도(latitude)
17.0,4847407.0,능동공영주차장,11215.0,77.0,0.0,77.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10200.0,서울특별시 광진구 능동 205 능동공영주차장,5.0,150.0,0.0,0.0,0.0,0.0,127.080258,37.554039
18.0,4847411.0,능동주차장,11215.0,24.0,0.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10200.0,서울특별시 광진구 능동 377,0.0,0.0,0.0,0.0,0.0,0.0,127.079597,37.55322
19.0,4848204.0,행복민영주차장,11215.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10200.0,서울특별시 광진구 능동 247-3,30.0,3000.0,60.0,5000.0,25000.0,0.0,127.086139,37.5542
20.0,4848515.0,자투리땅제16호,11215.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10200.0,서울특별시 광진구 능동 197-5,0.0,0.0,0.0,0.0,0.0,0.0,127.080552,37.553303
21.0,4847401.0,동의초인근공원,11215.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10300.0,서울특별시 광진구 구의동 6,0.0,0.0,0.0,0.0,0.0,0.0,127.097339,37.55331
22.0,4847404.0,동서울공영주차장,11215.0,28.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10300.0,서울특별시 광진구 구의동 598-1,5.0,250.0,5.0,250.0,0.0,100000.0,127.091341,37.533502
23.0,4847406.0,구의1동공영주차장,11215.0,171.0,0.0,4.0,1.0,0.0,168.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10300.0,서울특별시 광진구 구의동 243-78,5.0,150.0,0.0,0.0,0.0,100000.0,127.087892,37.538282
24.0,4847410.0,구의1동공용주차장,11215.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10300.0,서울특별시 광진구 구의동 230-7,0.0,0.0,0.0,0.0,0.0,0.0,127.089037,37.544191
25.0,4847879.0,광문학당,11215.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10300.0,서울특별시 광진구 구의동 72-8,0.0,0.0,0.0,0.0,0.0,0.0,127.09032,37.547887
26.0,4848099.0,구의3동공영주차장,11215.0,159.0,0.0,159.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10300.0,서울특별시 광진구 구의동 219-15 주차장,5.0,150.0,0.0,0.0,80000.0,0.0,127.09139,37.539123
27.0,4848168.0,구의유료주차장,11215.0,26.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10300.0,서울특별시 광진구 구의동 252-109,30.0,2200.0,30.0,2200.0,22000.0,0.0,127.083728,37.538682
28.0,4848514.0,구의2동주택가공동주차장,11215.0,78.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10300.0,서울특별시 광진구 구의동 30-9 구의2동 주택가 공동주차장,5.0,75.0,0.0,0.0,0.0,0.0,127.092849,37.552971
29.0,4848992.0,자투리땅제15호,11215.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10300.0,서울특별시 광진구 구의동 254-77,0.0,0.0,0.0,0.0,0.0,0.0,127.083069,37.541522
30.0,4848996.0,광진구소능경로문화센터,11215.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10300.0,서울특별시 광진구 구의동 617-33 구의2동제2경로당,0.0,0.0,0.0,0.0,0.0,0.0,127.085878,37.54749
31.0,5525384.0,창성주차장,11215.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10300.0,서울특별시 광진구 구의동 54-19,30.0,2000.0,15.0,1000.0,0.0,0.0,127.090741,37.551173
32.0,4847405.0,세촌,11215.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10400.0,서울특별시 광진구 광장동 275-5,0.0,0.0,0.0,0.0,0.0,0.0,127.105434,37.54862
33.0,4848095.0,광장공동,11215.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10400.0,서울특별시 광진구 광장동 394-43,0.0,0.0,0.0,0.0,0.0,0.0,127.101627,37.546419
34.0,4847402.0,자양2동유수지공영주차장,11215.0,281.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,서울특별시 광진구 자양동 594,5.0,150.0,5.0,150.0,50000.0,0.0,127.077664,37.529691
35.0,4847414.0,자양4동공영주차장,11215.0,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,서울특별시 광진구 자양동 5-5,30.0,900.0,5.0,150.0,100000.0,0.0,127.068253,37.538677
36.0,4848170.0,유료주차장,11215.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,서울특별시 광진구 자양동 680-29,60.0,4000.0,60.0,4000.0,0.0,120000.0,127.086056,37.532908
37.0,4848187.0,쿠팡,11215.0,50.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,서울특별시 광진구 자양동 690-33 대승유료주차장,0.0,0.0,0.0,0.0,0.0,0.0,127.087491,37.530436
38.0,4848248.0,구유료주차장,11215.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,서울특별시 광진구 자양동 218-13,30.0,2000.0,10.0,500.0,0.0,150000.0,127.081048,37.536417
39.0,4848251.0,자양전통시장공영주차장,11215.0,26.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,서울특별시 광진구 자양동 631-18 자양전통시장 공영주차장,60.0,3000.0,10.0,500.0,0.0,15000.0,127.081634,37.533763
