pl_id,pl_nm,logitude,latitude,resident_day_month_amt,resident_night_month_amt,resident_allday_month_amt
5532773,258-35 노상주차장,127.102926,37.5469846,30000,20000,40000
5532772,258-35 노상주차장,127.102881,37.5469743,30000,20000,40000
4757761,258-35 노상주차장,127.103018,37.547001,30000,20000,40000
4756844,258-35 노상주차장,127.102828,37.546933,30000,20000,40000
4754181,258-4 거주자우선주차장,127.102684,37.547681,30000,20000,40000
4758075,259-5 노상주차장,127.103726,37.547116,30000,20000,40000
4757172,259-1 노상주차장,127.103924,37.547263,30000,20000,40000
4737312,262 노상주차장,127.103119,37.547059,30000,20000,40000
5532091,264-1 노상주차장,127.1050959,37.5475653,30000,20000,40000
4809685,264-1 노상주차장,127.104040,37.547320,30000,20000,40000
4757175,264-1 노상주차장,127.105010,37.547554,30000,20000,40000
4757173,264-1 노상주차장,127.103761,37.547230,30000,20000,40000
4754180,266 거주자우선주차장,127.102926,37.547411,30000,20000,40000
4735330,315-2 노상주차장,127.106849,37.546908,30000,20000,40000
5533862,320-4 거주자우선주차장,127.1066552,37.5469017,30000,20000,40000
5533044,320-4 거주자우선주차장,127.108828,37.548485,30000,20000,40000
5533859,325-4 거주자우선주차장,127.1075339,37.547327,30000,20000,40000
5533858,325-4 거주자우선주차장,127.1075645,37.5473364,30000,20000,40000
5533857,325-4 거주자우선주차장,127.107594,37.5473521,30000,20000,40000
5533856,325-4 거주자우선주차장,127.1076273,37.5473661,30000,20000,40000
5533855,325-4 거주자우선주차장,127.1076557,37.547378,30000,20000,40000
4758140,325-4 거주자우선주차장,127.107690,37.547394,30000,20000,40000
5532073,329-1 거주자우선주차장,127.105805,37.5471789,30000,20000,40000
5532072,329-1 거주자우선주차장,127.1058074,37.5472719,30000,20000,40000
5532071,329-1 거주자우선주차장,127.1058145,37.5473686,30000,20000,40000
4807807,329-1 거주자우선주차장,127.105903,37.546902,30000,20000,40000
4754507,329-1 거주자우선주차장,127.105876,37.547174,30000,20000,40000
4758104,334-2 노상주차장,127.106816,37.546970,30000,20000,40000
4756490,334-2 노상주차장,127.106718,37.546937,30000,20000,40000
5532999,353 노상주차장,127.1023764,37.5499509,30000,20000,40000
5532998,353 노상주차장,127.102507,37.5497731,30000,20000,40000
5532997,353 노상주차장,127.1024907,37.5498015,30000,20000,40000
5532995,353 노상주차장,127.1024857,37.5496485,30000,20000,40000
5067758,장로회신학대학교,127.104736,37.5500693,30000,20000,40000
4810351,353 노상주차장,127.102370,37.549968,30000,20000,40000
4809352,353 노상주차장,127.102526,37.549510,30000,20000,40000
4806418,353 노상주차장,127.102522,37.549566,30000,20000,40000
4797104,353 노상주차장,127.102480,37.549669,30000,20000,40000
4754494,353 노상주차장,127.102420,37.549837,30000,20000,40000
4754492,353 노상주차장,127.102530,37.549496,30000,20000,40000
5532890,355-2 노상주차장,127.1032488,37.5480612,30000,20000,40000
5532889,355-2 노상주차장,127.1032193,37.5480532,30000,20000,40000
5532888,355-2 노상주차장,127.1031833,37.5480412,30000,20000,40000
5532884,355-2 노상주차장,127.1028795,37.547904,30000,20000,40000
5532883,355-2 노상주차장,127.1029191,37.5479175,30000,20000,40000
5532882,355-2 노상주차장,127.1029537,37.5479277,30000,20000,40000
5532191,355-1 노상주차장,127.102828,37.5488481,30000,20000,40000
5532189,355-1 노상주차장,127.102834,37.548836,30000,20000,40000
5532187,355-1 노상주차장,127.1028578,37.5487509,30000,20000,40000
4810377,355-2 노상주차장,127.102986,37.547933,30000,20000,40000
4806779,355-2 노상주차장,127.103032,37.547957,30000,20000,40000
4757820,355-2 노상주차장,127.103152,37.548011,30000,20000,40000
4756842,355-1 노상주차장,127.102858,37.548781,30000,20000,40000
4755834,355-1 노상주차장,127.102844,37.548820,30000,20000,40000
4754473,355-2 노상주차장,127.103137,37.547992,30000,20000,40000
4754471,355-2 노상주차장,127.103341,37.548075,30000,20000,40000
5532186,358-15 노상주차장,127.1029496,37.5486703,30000,20000,40000
5532185,358-15 노상주차장,127.1029638,37.5486223,30000,20000,40000
4754475,358-15 노상주차장,127.102943,37.548569,30000,20000,40000
5533014,372-1 노상주차장,127.1015669,37.5506693,30000,20000,40000
5533013,372-1 노상주차장,127.1015906,37.5506612,30000,20000,40000
5533012,372-1 노상주차장,127.1016131,37.5506533,30000,20000,40000
5533011,372-1 노상주차장,127.1016315,37.5506491,30000,20000,40000
5533010,372-1 노상주차장,127.101656,37.550644,30000,20000,40000
5533007,372-1 노상주차장,127.101701,37.550624,30000,20000,40000
5533005,372-1 노상주차장,127.1017868,37.5505804,30000,20000,40000
5533002,372-1 노상주차장,127.1019737,37.5504826,30000,20000,40000
5533001,372-1 노상주차장,127.101943,37.5505033,30000,20000,40000
4754497,372-1 노상주차장,127.101759,37.550589,30000,20000,40000
4754496,372-1 노상주차장,127.101857,37.550500,30000,20000,40000
5532857,376-4 노상주차장,127.1029047,37.5484001,30000,20000,40000
5532856,376-4 노상주차장,127.1028741,37.5483803,30000,20000,40000
5532855,376-4 노상주차장,127.1028361,37.5483604,30000,20000,40000
4755493,376-4 노상주차장,127.102791,37.548343,30000,20000,40000
5532807,389-1 노상주차장,127.1014014,37.5475621,30000,20000,40000
5532806,389-1 노상주차장,127.1014239,37.5475645,30000,20000,40000
5532800,389-1 노상주차장,127.1015436,37.5475776,30000,20000,40000
5532799,389-1 노상주차장,127.101514,37.5475722,30000,20000,40000
4960105,서울광장초등학교,127.101367,37.548263,0,0,0
4806843,389-1 거주자우선주차장,127.101236,37.547485,30000,20000,40000
4797529,389-1 거주자우선주차장,127.101766,37.547616,30000,20000,40000
4754204,389-1 노상주차장,127.101274,37.547339,30000,20000,40000
4754186,389-1 노상주차장,127.101264,37.547401,30000,20000,40000
4754185,389-1 노상주차장,127.101667,37.547599,30000,20000,40000
4754183,389-1 노상주차장,127.101478,37.547568,30000,20000,40000
5532844,393-21 노상주차장,127.1020888,37.5481953,30000,20000,40000
5532843,393-21 노상주차장,127.1020667,37.5482045,30000,20000,40000
4755835,393-21 노상주차장,127.102050,37.548213,30000,20000,40000
5532862,394-1 노상주차장,127.1025501,37.5482104,30000,20000,40000
5532861,394-1 노상주차장,127.102577,37.5482217,30000,20000,40000
5532858,394-1 노상주차장,127.1026937,37.5482806,30000,20000,40000
4754206,394-1 노상주차장,127.102675,37.548273,30000,20000,40000
4754188,394-1 노상주차장,127.102595,37.548234,30000,20000,40000
5533042,광장동현대10차앞,127.1017603,37.5455155,30000,20000,40000
5533039,광장동현대10차앞,127.1015996,37.5453199,30000,20000,40000
5533036,광장동현대10차앞,127.1018662,37.5456288,30000,20000,40000
4756829,광장동현대10차앞,127.101843,37.545620,30000,20000,40000
4754512,광장동현대10차앞,127.101776,37.545546,30000,20000,40000
4754222,광장동현대10차앞,127.101635,37.545351,30000,20000,40000
5021324,정립회관,127.097901,37.5505256,30000,20000,40000
5525955,29-21 노상주차장,127.092478,37.553392,0,0,0
5020289,광진초등학교,127.09121,37.5475846,30000,20000,40000
5528133,68-5 노상주차장,127.087096,37.545785,0,0,0
5529542,132-1 노상주차장,127.087376,37.545244,0,0,0
5529540,132-1 노상주차장,127.087376,37.545244,0,0,0
4759061,200-5 노상주차장,127.094642,37.541157,30000,20000,40000
5538170,201-26 노상주차장,127.0937855,37.5421998,30000,20000,40000
5538166,201-26 노상주차장,127.0939506,37.5423681,30000,20000,40000
5538165,201-26 노상주차장,127.093999,37.542345,30000,20000,40000
4757759,201-26 노상주차장,127.093990,37.542467,30000,20000,40000
4755158,201-26 노상주차장,127.093929,37.542424,30000,20000,40000
4736426,201-26 노상주차장,127.094047,37.542485,30000,20000,40000
5537277,202-18 노상주차장,127.0929819,37.5429181,30000,20000,40000
5537276,202-18 노상주차장,127.093011,37.5428887,30000,20000,40000
5537275,202-18 노상주차장,127.0930576,37.5428412,30000,20000,40000
4810111,202-18 노상주차장,127.093035,37.542857,30000,20000,40000
4757103,202-10 노상주차장,127.095241,37.542127,30000,20000,40000
4756780,202-18 노상주차장,127.092737,37.543116,30000,20000,40000
5537304,205-4 노상주차장,127.0925609,37.5422045,30000,20000,40000
5537295,205-4 노상주차장,127.0929442,37.5419445,30000,20000,40000
5537294,205-4 노상주차장,127.092903,37.541957,30000,20000,40000
5537289,205-11 노상주차장,127.0931161,37.5419525,30000,20000,40000
4755441,205-4 노상주차장,127.092922,37.541879,30000,20000,40000
4735947,205-11 노상주차장,127.093208,37.541999,30000,20000,40000
5538171,206-10 노상주차장,127.0946718,37.5412116,30000,20000,40000
5538121,206-10 노상주차장,127.09443,37.5410577,30000,20000,40000
5538120,206-10 노상주차장,127.0942753,37.5409838,30000,20000,40000
4806913,206-10 노상주차장,127.094499,37.541393,30000,20000,40000
4754221,206-10 노상주차장,127.094644,37.541231,30000,20000,40000
4754219,206-10 노상주차장,127.094439,37.541462,30000,20000,40000
4754218,206-10 노상주차장,127.094314,37.541551,30000,20000,40000
4754216,206-10 노상주차장,127.094339,37.541008,30000,20000,40000
4755516,208-2 노상주차장,127.092390,37.542224,30000,20000,40000
4735331,208-2 노상주차장,127.092359,37.542140,30000,20000,40000
5537755,209-27 노상주차장,127.0912648,37.5402548,30000,20000,40000
4756507,209-27 노상주차장,127.091193,37.540212,30000,20000,40000
4756839,210-51 노상주차장,127.092197,37.539738,30000,20000,40000
4737305,210-51 노상주차장,127.092271,37.539783,30000,20000,40000
5538091,211-10 노상주차장,127.0944219,37.5405947,30000,20000,40000
5538090,211-10 노상주차장,127.0943992,37.5406284,30000,20000,40000
5538041,211-10 노상주차장,127.0939287,37.5407769,30000,20000,40000
5538005,211-23 노상주차장,127.0924125,37.5408059,30000,20000,40000
5538004,211-23 노상주차장,127.0923849,37.5407915,30000,20000,40000
4806772,211-23 노상주차장,127.092348,37.540780,30000,20000,40000
4754761,211-10 노상주차장,127.093634,37.540604,30000,20000,40000
4758800,215-1 노상주차장,127.094398,37.537760,30000,20000,40000
5538560,219-25 노상주차장,127.0909269,37.5388147,30000,20000,40000
