동명,시설명,위치,부지면적,주차면수 소계,주차면수 노상,주차면수 노외,주차요금 5분당,주차요금 주간,주차요금 야간,주차요금 종일
중곡1동,중곡제일전통시장 공영,중곡1동 221-6,695,21,0.0,21.0,250,0,30000,0
중곡2동,장신구,중곡2동 133-10,531,22,0.0,22.0,0,40000,30000,50000
중곡2동,중곡동복개천,중곡2동 150-196,0,78,78.0,0.0,200,0,0,100000
중곡3동,중곡3동마을공원,중곡3동 195-1,3038.3,162,0.0,162.0,75,40000,30000,50000
중곡3동,중곡체육센터,중곡3동 168-8,"3,690.00",6,0.0,6.0,0,40000,30000,50000
중곡4동,신성시장길,중곡4동 453 일대,0,33,33.0,0.0,250,0,0,100000
중곡4동,새오름,중곡4동 143-70,137,7,0.0,7.0,0,40000,30000,50000
중곡4동,용마산남,중곡4동 69-2,777.9,25,0.0,25.0,0,40000,30000,50000
중곡4동,긴고랑길공영,중곡4동 72-1 외,"1,653.00",53,0.0,53.0,0,40000,30000,50000
중곡4동,해오름,중곡4동 87-14,462.9,20,0.0,20.0,0,40000,30000,50000
중곡4동,뻥튀기골주차장(용마공원주차장),중곡4동 176-110,595,18,0.0,18.0,0,40000,30000,50000
중곡4동,중곡4동 599-6 인근,면목4동 산75-2,124.2,9,0.0,9.0,0,40000,30000,50000
중곡4동,한림대부지,중곡4동 176-119,179,8,0.0,8.0,0,40000,30000,50000
능동,능동공영,능동 205,"1,167.00",77,0.0,77.0,150,40000,30000,50000
능동,능동공동,능동 377,485,25,0.0,25.0,0,40000,30000,50000
구의1동,구의1동 공영,구의1동 243-78,"1,037.00",172,0.0,172.0,150,50000,30000,80000
구의1동,구의번영,구의1동 230-7,794.4,34,0.0,34.0,0,40000,30000,50000
구의2동,구의2동 주택가공동,구의2동 30-9,"1,170.60",90,0.0,90.0,75,40000,30000,50000
구의2동,광문학당,구의2동 72-8,258.5,12,0.0,12.0,0,40000,30000,50000
구의2동,공원(동의초인근),구의2동 6,630,11,0.0,11.0,0,30000,20000,40000
구의3동,동서울길 공영,구의3동 609-1 일대,627.4,94,68.0,26.0,250,0,0,100000
구의3동,구의3동 공영,구의3동 219-15,"1,237.40",159,0.0,159.0,150,50000,30000,80000
구의3동,올림픽대교(시영),구의3동 623-1,0,19,0.0,19.0,0,30000,20000,40000
광장동,세촌,광장동 275-5,121,7,0.0,7.0,0,30000,20000,40000
광장동,광장공동 ,광장동 394-43 외,441,8,0.0,8.0,0,40000,30000,50000
광장동,큰나루,광장동 126,512,13,0.0,13.0,0,0,0,100000
자양1동,자양전통시장 공영,자양1동 631-18,447.5,24,0.0,24.0,250,0,30000,0
자양2동,유수지,자양2동 594,"9,000.00",281,0.0,281.0,150,40000,30000,50000
자양3동,송림식당길,자양3동 712 일대,0,94,94.0,0.0,200,0,0,90000
자양4동,자양4동 공영,자양4동 5-5,"1,988.40",86,0.0,86.0,150,0,0,100000
자양4동,행복제2,자양4동 10-2,"1,313.10",53,0.0,53.0,0,40000,30000,50000
화양동,느티나무(화양공동),화양동 110-67,"1,248.00",27,0.0,27.0,0,40000,30000,50000
화양동,화양동 공영,화양동 63-2,664,44,0.0,44.0,150,0,0,80000
화양동,화양동 마을마당,화양동 523-2,112,6,0.0,6.0,0,0,0,50000
군자동,군자동 공영,군자동 2-41,"1,075.10",53,0.0,53.0,0,40000,30000,50000
군자동,광진광장 공영,군자동 374,"1,516.00",36,0.0,36.0,250,0,0,120000
