"동별(1)",동별(2),동별(3),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"동별(1)",동별(2),동별(3),합계,합계,합계,합계,합계,개인사업체,개인사업체,회사법인,회사법인,회사이외의 법인,회사이외의 법인,비법인단체,비법인단체
"동별(1)",동별(2),동별(3),사업체수,사업체수,종사자수,종사자수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수
"동별(1)",동별(2),동별(3),사업체수,여성대표자,소계,남,여,소계,소계,소계,소계,소계,소계,소계,소계
"합계",성동구,마장동,4030,1106,12518,8360,4158,3082,5215,814,4686,107,2437,27,180
"합계",성동구,사근동,1310,423,10537,4981,5556,972,2167,217,922,110,7381,11,67
"합계",성동구,행당1동,1578,602,9587,4400,5187,1218,2818,256,1845,82,4607,22,317
"합계",성동구,행당2동,1031,486,2412,1015,1397,925,1458,53,312,31,459,22,183
"합계",성동구,응봉동,682,288,1162,536,626,616,763,26,56,30,294,10,49
"합계",성동구,금호1가동,927,398,2416,1048,1368,806,1401,65,311,35,451,21,253
"합계",성동구,금호4가동,999,449,2294,1131,1163,861,1462,80,435,42,276,16,121
"합계",성동구,성수1가1동,2982,901,14473,8285,6188,1989,3394,869,9210,90,1638,34,231
"합계",성동구,성수1가2동,4784,1377,26199,16233,9966,2654,5057,1989,20102,115,907,26,133
"합계",성동구,성수2가1동,3557,1017,20402,12458,7944,2356,4579,1116,14521,63,1084,22,218
"합계",성동구,성수2가3동,8853,2172,63385,38143,25242,4804,11083,3862,50501,167,1511,20,290
"합계",성동구,송정동,1005,301,2879,1645,1234,823,1411,136,750,35,648,11,70
"합계",성동구,용답동,2497,712,12834,8693,4141,1767,3246,622,6136,89,3358,19,94
"합계",성동구,왕십리도선동,3234,1302,11495,5284,6211,2568,5374,531,4138,92,1432,43,551
"합계",성동구,금호2.3가동,1458,677,2963,1286,1677,1305,2036,76,267,46,357,31,303
"합계",성동구,옥수동,1506,734,4717,2071,2646,1206,2188,207,1580,57,703,36,246
"합계",광진구,소계,33706,12297,129707,71124,58583,27177,50159,5042,49438,1075,26729,412,3381
"합계",광진구,화양동,3072,1041,16195,8260,7935,2504,5638,448,2678,102,7779,18,100
"합계",광진구,군자동,2389,847,9834,5547,4287,1901,3388,390,3464,76,2768,22,214
"합계",광진구,중곡1동,2152,725,6363,3474,2889,1780,3345,301,2306,55,578,16,134
"합계",광진구,중곡2동,2350,922,7380,3874,3506,1940,3584,319,3113,63,468,28,215
"합계",광진구,중곡3동,1764,632,5019,2629,2390,1547,2742,145,1035,51,982,21,260
"합계",광진구,중곡4동,1707,697,4257,2084,2173,1477,2478,140,759,57,727,33,293
"합계",광진구,능동,1214,439,6229,3428,2801,902,1952,253,2392,49,1815,10,70
"합계",광진구,구의1동,2623,934,7443,4018,3425,2153,3651,365,2294,76,1152,29,346
"합계",광진구,구의2동,1929,730,5989,3123,2866,1623,2744,196,1893,79,1131,31,221
"합계",광진구,구의3동,3708,1222,16217,9466,6751,2682,4891,878,9800,100,1190,48,336
"합계",광진구,광장동,2180,842,14269,8961,5308,1502,2691,530,9519,110,1877,38,182
"합계",광진구,자양1동,2303,922,9645,5027,4618,1924,3932,290,3242,62,2121,27,350
"합계",광진구,자양2동,2196,728,7033,4080,2953,1838,2934,250,2063,71,1817,37,219
"합계",광진구,자양3동,1922,780,7600,3651,3949,1530,2768,294,2851,64,1717,34,264
"합계",광진구,자양4동,2197,836,6234,3502,2732,1874,3421,243,2029,60,607,20,177
"합계",동대문구,소계,42813,14480,146383,78105,68278,36139,65663,4866,42844,1288,33061,520,4815
"합계",동대문구,회기동,1293,504,10348,4835,5513,1038,2089,172,861,70,7344,13,54
"합계",동대문구,휘경1동,1285,513,3690,1799,1891,1062,1889,151,916,53,474,19,411
"합계",동대문구,휘경2동,1665,462,5457,2660,2797,1467,2015,94,505,76,2769,28,168
"합계",동대문구,청량리동,1909,694,8278,4347,3931,1626,3454,145,1023,107,3514,31,287
"합계",동대문구,용신동,6982,2228,30470,15892,14578,5626,10741,1095,13144,210,6104,51,481
"합계",동대문구,제기동,5355,1836,13094,7788,5306,4696,7671,478,4119,128,820,53,484
"합계",동대문구,전농1동,3020,1185,7638,4102,3536,2580,4251,319,1732,84,1274,37,381
"합계",동대문구,전농2동,1358,514,5460,2982,2478,1158,1828,91,623,78,2795,31,214
"합계",동대문구,답십리1동,3799,1186,9651,5267,4384,3376,5242,306,3231,85,892,32,286
"합계",동대문구,답십리2동,2847,912,8207,4769,3438,2336,4410,376,2719,71,421,64,657
"합계",동대문구,장안1동,6654,2017,22326,12275,10051,5423,10634,1056,9712,116,1529,59,451
"합계",동대문구,장안2동,3956,1477,12725,6567,6158,3415,7379,409,3278,80,1622,52,446
"합계",동대문구,이문1동,1641,561,6654,3471,3183,1393,2630,127,629,96,3117,25,278
"합계",동대문구,이문2동,1049,391,2385,1351,1034,943,1430,47,352,34,386,25,217
"합계",중랑구,소계,39310,13471,113144,59221,53923,34606,61504,2934,26594,1150,19222,620,5824
"합계",중랑구,면목2동,2477,852,5975,3163,2812,2235,4301,151,855,55,517,36,302
"합계",중랑구,면목4동,2568,725,4971,3066,1905,2390,3252,78,936,71,630,29,153
"합계",중랑구,면목5동,1161,386,3336,2108,1228,1026,1944,86,1107,32,174,17,111
