"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모"
"3040000","CDFI2262181999000001","19991215","","03","폐업","03","폐업","20211105","","","","455-5000","","143210","서울특별시 광진구 광장동 산 21 ","서울특별시 광진구 워커힐로 177 (광장동)","04963","SK 네트웍스(주) 워커힐 씨어터","2021-11-05 11:05:57","U","2021-11-07 02:40:00.0","","209775.267831522    ","450327.57709331     ","관광공연장업","관광사업","","","","","","","","","","","SK Networks Co. Ltd. Walkerhill Theater","Tourist Performance","","","","","","","","","","","","","","","","","","","","",""
"3040000","CDFI2262182011000001","20110414","","01","영업/정상","13","영업중","","","","","455-0101","","143200","서울특별시 광진구 구의동 595번지 동서울관광호텔 지하2층 ","서울특별시 광진구 구의강변로 38  (구의동,동서울관광호텔 지하2층)","","동서울아트홀","2012-07-09 17:52:15","I","2018-08-31 23:59:59.0","","208051.884671132    ","447994.805558304    ","관광공연장업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50000000","","","",""
