일련번호(no),주차장고유값(pl_id),지번주차장이름(pl_nm),구코드(sgg_code),법정동코드(bemd_code),산구분(land_registered),공유주차장구분(shared_parkinglot),번지(beonji),호(ho),주소(지번)(lot_num_address),새주소-도로명(road_nm_address),새주소-건물번호(bld_num),소유주체(possessor),급지(pl_grade),유무료(pl_fee),평일시작시간(pl_weekday_start_time),평일종료시간(pl_weekday_end_time),토요일시작시간(pl_sat_start_time),토요일종료시간(pl_sat_end_time),공휴일시작시간(pl_holiday_start_time),공휴일종료시간(pl_holiday_end_time),기본단위시간(pl_basic_rate_min),기본단위금액(pl_basic_rate_amt),추가단위시간(pl_addi_rate_min),추가단위금액(pl_addi_rate_amt),1일(전일)금액(pl_allday_pass_amt),1월(정기권)금액(pl_month_pass_amt),주차요금지불방식(pl_payment_option),부제시행(bool_not_driving_system),운영방식(operation_type),구간번호(section),구획번호(parcel),거주자-주간(월)금액(resident_day_month_amt),거주자-야간(월)금액(resident_night_month_amt),거주자-전일(월)금액(resident_allday_month_amt),거주자-평일시작시간(resident_weekday_start_time),거주자-평일종료시간(resident_weekday_end_time),거주자-토요일시작시간(resident_sat_start_time),거주자-토요일종료시간(resident_sat_end_time),거주자-휴일시작시간(resident_holiday_start_time),거주자-휴일종료시간(resident_holiday_end_time),할인정책-장애인(pl_discount_disabled),할인정책-경차(pl_discount_compact),할인정책-다자녀가정(두자녀)(pl_discount_2children),할인정책-다자녀가정(세자녀)(pl_discount_3children),할인정책-국가유공자(pl_discount_person_merit),할인정책-10부제참여차량(pl_discount_ten_part_system),할인정책-요일제차량(pl_discount_weekdayly),할인정책-기타할인율(pl_discount_other_percent),할인정책-기타대상(pl_discount_other_target),그룹관리번호(managing_group_no),경도(longitude),위도(latitude),구축기준일(final_end_dt)
793,5532186,358-15 노상주차장,11215,10400,임야도 등록,,358,15,서울특별시 광진구 광장동 358-15,광장로1다길,14-1,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,063-3,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.102950 ,37.548670 ,2022-11-25
794,5532187,355-1 노상주차장,11215,10400,임야도 등록,,355,1,서울특별시 광진구 광장동 355-1,광장로1다길,10-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,59,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.102858 ,37.548751 ,2022-11-25
795,5532189,355-1 노상주차장,11215,10400,임야도 등록,,355,1,서울특별시 광진구 광장동 355-1,광장로1다길,10-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,62,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.102834,37.548836,2022-11-25
796,5532191,355-1 노상주차장,11215,10400,임야도 등록,,355,1,서울특별시 광진구 광장동 355-1,광장로1다길,10-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,63,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.102828 ,37.548848 ,2022-11-25
797,5532722,245-8 노상주차장,11215,10400,임야도 등록,,245,8,서울특별시 광진구 광장동 245-8,아차산로73길,25-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,227,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.103433 ,37.545666 ,2022-11-25
798,5532723,245-8 노상주차장,11215,10400,임야도 등록,,245,8,서울특별시 광진구 광장동 245-8,아차산로73길,25-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,230,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.103492,37.545729,2022-11-25
799,5532724,244-7 노상주차장,11215,10400,임야도 등록,,244,7,서울특별시 광진구 광장동 244-7,아차산로73길,12-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,236,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.103761 ,37.545760 ,2022-11-25
800,5532725,244-7 노상주차장,11215,10400,임야도 등록,,244,7,서울특별시 광진구 광장동 244-7,아차산로73길,12-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,235-1,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.103653 ,37.545806 ,2022-11-25
801,5532726,244-7 노상주차장,11215,10400,임야도 등록,,244,7,서울특별시 광진구 광장동 244-7,아차산로73길,12-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,238,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.103852 ,37.545734 ,2022-11-25
802,5532727,244-7 노상주차장,11215,10400,임야도 등록,,244,7,서울특별시 광진구 광장동 244-7,아차산로73길,12-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,240,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.103959 ,37.545699 ,2022-11-25
803,5532730,250 노상주차장,11215,10400,임야도 등록,,250,0,서울특별시 광진구 광장동 250 광장동 신동아 파밀리에,아차산로,599-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,247,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.104294 ,37.545820 ,2022-11-25
804,5532738,250 노상주차장,11215,10400,임야도 등록,,250,0,서울특별시 광진구 광장동 250 광장동 신동아 파밀리에,아차산로,599-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,251,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.104562 ,37.545844 ,2022-11-25
805,5532739,250 노상주차장,11215,10400,임야도 등록,,250,0,서울특별시 광진구 광장동 250 광장동 신동아 파밀리에,아차산로,599-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,248-1,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.104679 ,37.545782 ,2022-11-25
806,5532749,245-8 노상주차장,11215,10400,임야도 등록,,245,8,서울특별시 광진구 광장동 245-8,아차산로73길,25-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,262,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.103437 ,37.545895 ,2022-11-25
807,5532750,250 노상주차장,11215,10400,임야도 등록,,250,0,서울특별시 광진구 광장동 250 광장동 신동아 파밀리에,아차산로,599-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,257,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.104108 ,37.546029 ,2022-11-25
808,5532751,250 노상주차장,11215,10400,임야도 등록,,250,0,서울특별시 광진구 광장동 250 광장동 신동아 파밀리에,아차산로,599-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,259,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.104032,37.546056,2022-11-25
809,5532752,256-4 노상주차장,11215,10400,임야도 등록,,256,4,서울특별시 광진구 광장동 256-4,아차산로75길,26-1,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,231,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.103659 ,37.545914 ,2022-11-25
810,5532761,256-4 노상주차장,11215,10400,임야도 등록,,256,4,서울특별시 광진구 광장동 256-4,아차산로75길,26-1,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,233,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.103749 ,37.546009 ,2022-11-25
811,5532763,250 노상주차장,11215,10400,임야도 등록,,250,0,서울특별시 광진구 광장동 250 광장동 신동아 파밀리에,아차산로,599-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,263,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.103722 ,37.546227 ,2022-11-25
812,5532764,250 노상주차장,11215,10400,임야도 등록,,250,0,서울특별시 광진구 광장동 250 광장동 신동아 파밀리에,아차산로,599-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,265,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.103584 ,37.546275 ,2022-11-25
813,5532772,258-35 노상주차장,11215,10400,임야도 등록,,258,35,서울특별시 광진구 광장동 258-35,광장로3길,7-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,126,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.102881 ,37.546974 ,2022-11-25
814,5532773,258-35 노상주차장,11215,10400,임야도 등록,,258,35,서울특별시 광진구 광장동 258-35,광장로3길,7-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,127,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.102926 ,37.546985 ,2022-11-25
815,5532774,258-35 노상주차장,11215,10400,임야도 등록,,258,35,서울특별시 광진구 광장동 258-35,광장로3길,7-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,129,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.103060 ,37.547021 ,2022-11-25
816,5532775,258-35 노상주차장,11215,10400,임야도 등록,,258,35,서울특별시 광진구 광장동 258-35,광장로3길,7-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,130,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.103102 ,37.547031 ,2022-11-25
817,5532799,389-1 노상주차장,11215,10400,임야도 등록,,389,1,서울특별시 광진구 광장동 389-1 서울광장초등학교,광장로1길,27-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,14,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.101514 ,37.547572 ,2022-11-25
818,5532800,389-1 노상주차장,11215,10400,임야도 등록,,389,1,서울특별시 광진구 광장동 389-1 서울광장초등학교,광장로1길,27-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,1-13,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.101544 ,37.547578 ,2022-11-25
819,5532806,389-1 노상주차장,11215,10400,임야도 등록,,389,1,서울특별시 광진구 광장동 389-1 서울광장초등학교,광장로1길,27-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,17,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.101424 ,37.547565 ,2022-11-25
820,5532807,389-1 노상주차장,11215,10400,임야도 등록,,389,1,서울특별시 광진구 광장동 389-1 서울광장초등학교,광장로1길,27-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,18,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.101401 ,37.547562 ,2022-11-25
821,5532843,393-21 노상주차장,11215,10400,임야도 등록,,393,21,서울특별시 광진구 광장동 393-21,광장로1나길,10-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,050-2,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.102067 ,37.548205 ,2022-11-25
822,5532844,393-21 노상주차장,11215,10400,임야도 등록,,393,21,서울특별시 광진구 광장동 393-21,광장로1나길,10-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,050-1,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.102089 ,37.548195 ,2022-11-25
823,5532855,376-4 노상주차장,11215,10400,임야도 등록,,376,4,서울특별시 광진구 광장동 376-4,광장로1다길,9-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,56,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.102836 ,37.548360 ,2022-11-25
824,5532856,376-4 노상주차장,11215,10400,임야도 등록,,376,4,서울특별시 광진구 광장동 376-4,광장로1다길,9-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,57,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.102874 ,37.548380 ,2022-11-25
825,5532857,376-4 노상주차장,11215,10400,임야도 등록,,376,4,서울특별시 광진구 광장동 376-4,광장로1다길,9-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,58,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.102905 ,37.548400 ,2022-11-25
826,5532858,394-1 노상주차장,11215,10400,임야도 등록,,394,1,서울특별시 광진구 광장동 394-1 동부빌라,광장로1나길,4-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,54,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.102694 ,37.548281 ,2022-11-25
827,5532861,394-1 노상주차장,11215,10400,임야도 등록,,394,1,서울특별시 광진구 광장동 394-1 동부빌라,광장로1나길,4-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,51,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.102577 ,37.548222 ,2022-11-25
828,5532862,394-1 노상주차장,11215,10400,임야도 등록,,394,1,서울특별시 광진구 광장동 394-1 동부빌라,광장로1나길,4-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,50,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.102550 ,37.548210 ,2022-11-25
829,5532882,355-2 노상주차장,11215,10400,임야도 등록,,355,2,서울특별시 광진구 광장동 355-2,광장로1다길,2-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,101,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.102954 ,37.547928 ,2022-11-25
830,5532883,355-2 노상주차장,11215,10400,임야도 등록,,355,2,서울특별시 광진구 광장동 355-2,광장로1다길,2-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,100,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.102919 ,37.547918 ,2022-11-25
831,5532884,355-2 노상주차장,11215,10400,임야도 등록,,355,2,서울특별시 광진구 광장동 355-2,광장로1다길,2-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,99,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.102880 ,37.547904 ,2022-11-25
832,5532888,355-2 노상주차장,11215,10400,임야도 등록,,355,2,서울특별시 광진구 광장동 355-2,광장로1다길,2-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,106,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.103183 ,37.548041 ,2022-11-25
833,5532889,355-2 노상주차장,11215,10400,임야도 등록,,355,2,서울특별시 광진구 광장동 355-2,광장로1다길,2-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,107,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.103219 ,37.548053 ,2022-11-25
834,5532890,355-2 노상주차장,11215,10400,임야도 등록,,355,2,서울특별시 광진구 광장동 355-2,광장로1다길,2-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,108,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.103249 ,37.548061 ,2022-11-25
835,5532995,353 노상주차장,11215,10400,임야도 등록,,353,0,서울특별시 광진구 광장동 353 장로회신학대학교,광장로5길,25-1,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,75,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.102486 ,37.549649 ,2022-11-25
836,5532997,353 노상주차장,11215,10400,임야도 등록,,353,0,서울특별시 광진구 광장동 353 장로회신학대학교,광장로5길,25-1,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,78,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.102491 ,37.549802 ,2022-11-25
837,5532998,353 노상주차장,11215,10400,임야도 등록,,353,0,서울특별시 광진구 광장동 353 장로회신학대학교,광장로5길,25-1,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,77,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.102507 ,37.549773 ,2022-11-25
838,5533001,372-1 노상주차장,11215,10400,임야도 등록,,372,1,서울특별시 광진구 광장동 372-1 워커힐파크빌,광장로1다길,56-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,83,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.101943 ,37.550503 ,2022-11-25
839,5533002,372-1 노상주차장,11215,10400,임야도 등록,,372,1,서울특별시 광진구 광장동 372-1 워커힐파크빌,광장로1다길,56-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,82,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.101974 ,37.550483 ,2022-11-25
840,5533005,372-1 노상주차장,11215,10400,임야도 등록,,372,1,서울특별시 광진구 광장동 372-1 워커힐파크빌,광장로1다길,56-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,85,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.101787 ,37.550580 ,2022-11-25
841,5533007,372-1 노상주차장,11215,10400,임야도 등록,,372,1,서울특별시 광진구 광장동 372-1 워커힐파크빌,광장로1다길,56-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,87,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.101701,37.550624,2022-11-25
842,5533010,372-1 노상주차장,11215,10400,임야도 등록,,372,1,서울특별시 광진구 광장동 372-1 워커힐파크빌,광장로1다길,56-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,90,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.101656,37.550644,2022-11-25
843,5533011,372-1 노상주차장,11215,10400,임야도 등록,,372,1,서울특별시 광진구 광장동 372-1 워커힐파크빌,광장로1다길,56-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,91,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.101632 ,37.550649 ,2022-11-25
844,5533012,372-1 노상주차장,11215,10400,임야도 등록,,372,1,서울특별시 광진구 광장동 372-1 워커힐파크빌,광장로1다길,56-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,92,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.101613 ,37.550653 ,2022-11-25
845,5533013,372-1 노상주차장,11215,10400,임야도 등록,,372,1,서울특별시 광진구 광장동 372-1 워커힐파크빌,광장로1다길,56-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,93,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.101591 ,37.550661 ,2022-11-25
846,5533014,372-1 노상주차장,11215,10400,임야도 등록,,372,1,서울특별시 광진구 광장동 372-1 워커힐파크빌,광장로1다길,56-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,94,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400071,127.101567 ,37.550669 ,2022-11-25
847,4810351,353 노상주차장,11215,10400,임야도 등록,,353,0,서울특별시 광진구 광장동 353 장로회신학대학교,광장로5길,25-1,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,81,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400076,127.102370,37.549968,2022-11-25
848,5532999,353 노상주차장,11215,10400,임야도 등록,,353,0,서울특별시 광진구 광장동 353 장로회신학대학교,광장로5길,25-1,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,80,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510400076,127.102376 ,37.549951 ,2022-11-25
849,4735300,69-31 노상주차장,11215,10100,임야도 등록,,69,31,서울특별시 광진구 중곡동 69-31,용마산로8길,78-,2,5,유료,0000,0000,0900,1500,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,609,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510100039,127.092004,37.559254,2022-11-25
850,4735302,150-127 노상주차장,11215,10100,임야도 등록,,150,127,서울특별시 광진구 중곡동 150-127,긴고랑로31길,13-,2,5,유료,0000,0000,0900,1500,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,295-3,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510100014,127.086837,37.560437,2022-11-25
851,4735310,77-23 노상주차장,11215,10100,임야도 등록,,77,23,서울특별시 광진구 중곡동 77-23,긴고랑로,128-1,2,5,유료,0000,0000,0900,1500,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,216,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510100039,127.089004,37.558837,2022-11-25
852,4735316,18-114 거주자우선주차장,11215,10100,임야도 등록,,18,114,서울특별시 광진구 중곡동 18-114,용마산로22길,19-27,2,0,유료,0000,0000,0900,1500,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,142,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510100038,127.087936,37.564923,2022-11-25
853,4735319,248-28 노상주차장,11215,10100,임야도 등록,,248,28,서울특별시 광진구 중곡동 248-28,긴고랑로4길,24-,2,5,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,315,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510100315,127.077185,37.562763,2022-11-25
854,4735346,544-2 노상주차장,11215,10100,임야도 등록,,544,2,서울특별시 광진구 중곡동 544-2,답십리로86길,9-,2,0,유료,0000,0000,0000,0000,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,111,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510100002,127.084510,37.570568,2022-11-25
855,4735938,76-57 노상주차장,11215,10100,임야도 등록,,76,57,서울특별시 광진구 중곡동 76-57 면학빌딩,긴고랑로,148-1,2,5,유료,0000,0000,0900,1500,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,248,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510100039,127.091437,37.558582,2022-11-25
856,4735939,58-15 거주자우선주차장,11215,10100,임야도 등록,,58,15,서울특별시 광진구 중곡동 58-15 대순종단천안방면중앙연락소,용마산로,74-,2,5,유료,0000,0000,0900,1500,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,4-579,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510100575,127.087898,37.560392,2022-11-25
857,4735952,72-11 노상주차장,11215,10100,임야도 등록,,72,11,서울특별시 광진구 중곡동 72-11,긴고랑로,195-1,2,5,유료,0000,0000,0900,1500,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,348,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510100040,127.095650,37.560836,2022-11-25
858,4735953,70-16 노상주차장,11215,10100,임야도 등록,,70,16,서울특별시 광진구 중곡동 70-16,긴고랑로,167-,2,5,유료,0000,0000,0900,1500,0000,0000,0,0,0,0,0,0,정보없음,미시행,거주자우선주차장,없음,392,30000,20000,40000,0000,2400,0000,2400,0000,2400,0,0,0,0,0,0,0,0,0,1121510100040,127.093232,37.558900,2022-11-25
