행정동_ID,승객_수
광장동,19139.8
구의1동,31108.533333333333
구의2동,23029.066666666666
구의3동,37873.73333333333
군자동,8888.033333333333
능동,51069.46666666667
자양1동,6079.333333333333
자양2동,6565.8
자양3동,6249.266666666666
중곡1동,4287.7
중곡2동,5742.366666666667
중곡3동,15739.766666666666
중곡4동,3513.1
화양동,62887.1
