점포구분명,학교명,도로명주소
학교,건국대학교사범대학부속고등학교,서울특별시 광진구 능동로 120
학교,건국대학교사범대학부속고등학교,서울특별시 광진구 능동로 120
학교,건국대학교사범대학부속고등학교,서울특별시 광진구 능동로 120
학교,건국대학교사범대학부속고등학교,서울특별시 광진구 능동로 120
학교,건국대학교사범대학부속고등학교,서울특별시 광진구 능동로 120
학교,자양고등학교,서울특별시 광진구 뚝섬로37길 28
학교,자양고등학교,서울특별시 광진구 뚝섬로37길 28
학교,자양고등학교,서울특별시 광진구 뚝섬로37길 28
학교,자양고등학교,서울특별시 광진구 뚝섬로37길 28
학교,자양고등학교,서울특별시 광진구 뚝섬로37길 28
학교,자양고등학교,서울특별시 광진구 뚝섬로37길 28
학교,자양고등학교,서울특별시 광진구 뚝섬로37길 28
학교,광양고등학교,서울특별시 광진구 자양로3가길 31
학교,광양고등학교,서울특별시 광진구 자양로3가길 31
학교,광양고등학교,서울특별시 광진구 자양로3가길 31
학교,광양고등학교,서울특별시 광진구 자양로3가길 31
학교,광남고등학교,서울특별시 광진구 아차산로70길 17-16
학교,광남고등학교,서울특별시 광진구 아차산로70길 17-16
학교,광남고등학교,서울특별시 광진구 아차산로70길 17-16
학교,광남고등학교,서울특별시 광진구 아차산로70길 17-16
