점포구분명,상세영업상태명,사업장명,좌표정보(X),좌표정보(Y)
휴게음식점,영업,애니타임,205767.016780472,448839.104667846
휴게음식점,영업,던킨도너츠,208526.97532855,448791.8824094
휴게음식점,영업,베스킨라빈스,207881.32586747,450008.602481166
휴게음식점,영업,대박치킨,206081.427332081,449095.760272141
휴게음식점,영업,공기,206217.434726027,448506.218743834
휴게음식점,영업,대도식품건대스타시티점(미향),206217.434726027,448506.218743834
휴게음식점,영업,롯데제과(주) 롯데백화점건대점커피,206217.434726027,448506.218743834
휴게음식점,영업,움트,206217.434726027,448506.218743834
휴게음식점,영업,이삭토스트건대점,206685.852736958,449228.796631785
휴게음식점,영업,행복을마시는집,206992.069600281,451450.26149079
휴게음식점,영업,GS25 구의성진,207995.95709474,448085.242458867
휴게음식점,영업,세븐일레븐 구의초교점,207143.346852129,448997.387765691
휴게음식점,영업,떡순이,207489.563257946,448890.687359283
휴게음식점,영업,청주명문도너츠,207502.317085809,449274.240095012
휴게음식점,영업,랠리까페,207668.059645019,451104.966430112
휴게음식점,영업,화목분식,208016.594414211,449907.93399114
휴게음식점,영업,(주)군자씨네텍,206852.360928556,450393.660973724
휴게음식점,영업,투썸플레이스 군자역점,206852.360928556,450393.660973724
휴게음식점,영업,씨유광장점,208644.819209521,448711.725750126
휴게음식점,영업,광성김밥,207098.994772766,451260.44574067
휴게음식점,영업,파반커피,206158.010872828,448727.569342409
휴게음식점,영업,본죽 군자역점,206840.235247206,450358.738927458
휴게음식점,영업,김밥천국,207650.957331463,450614.002896984
휴게음식점,영업,세븐일레븐(스타시티영존점),206241.82019349,448715.06998929
휴게음식점,영업,소문난떡볶이,206864.173050653,448041.471751176
휴게음식점,영업,GS25 S 어린이대공원역점,206466.458333249,449432.587825968
휴게음식점,영업,GS25 광나루점,209466.623798475,449489.33327025
휴게음식점,영업,코스모스,207467.486275455,448877.996471501
휴게음식점,영업,롯데리아 건대역점,206241.82019349,448715.06998929
휴게음식점,영업,부산어묵,207167.547417642,451370.612147849
휴게음식점,영업,커피점빵,209237.010976216,449506.881867274
휴게음식점,영업,베스킨라빈스,206230.081675753,448001.810333908
휴게음식점,영업,엔탑,206540.408063644,450231.172775616
휴게음식점,영업,민동경수산,206107.775163579,449029.342177779
휴게음식점,영업,유니윈,208141.906424553,450298.276612067
휴게음식점,영업,커피마켓,206218.026997999,448959.837527475
휴게음식점,영업,카페베네건대2호점,205829.430082557,448812.537226576
휴게음식점,영업,매직엔pc방,207365.009660992,448238.625106956
휴게음식점,영업,탐앤탐스(건대),206158.010872828,448727.569342409
휴게음식점,영업,커피야 구의점,207771.012933553,448808.283726171
휴게음식점,영업,스위타블,207140.111774689,450236.701777051
휴게음식점,영업,씨유구의공원점,208277.000267767,448381.969172681
휴게음식점,영업,세븐일레븐건대입구역점,205934.093803681,448768.010754638
휴게음식점,영업,미니분식,207786.385687307,450601.761652592
휴게음식점,영업,토프레소동서울터미널점,208080.912100162,447993.12681343
휴게음식점,영업,커피마마,207524.325840597,449167.621788725
휴게음식점,영업,탐앤탐스커피,207942.617936322,449864.683570555
휴게음식점,영업,리키커피랩,207217.970551632,447605.102915096
휴게음식점,영업,지에스25광진더클래식점(GS25광진더클래식점),206217.434726027,448506.218743834
휴게음식점,영업,맛있는분식,206898.574092409,448141.373068476
휴게음식점,영업,이디야커피군자역점,206908.823781413,450372.530408586
휴게음식점,영업,우주로캣,206109.987109224,448630.832988973
휴게음식점,영업,베스킨라빈스군자점,206896.697217277,450515.575725945
휴게음식점,영업,롯데건대점선어코너,206217.434726027,448506.218743834
휴게음식점,영업,커피스푼,207258.61801812,447421.91647025
휴게음식점,영업,쿠커피(Coup Coffee건대스타시티점),206217.434726027,448506.218743834
휴게음식점,영업,모카하마,206671.631366842,449257.741219082
휴게음식점,영업,엔젤,207193.546781532,448147.401068444
휴게음식점,영업,베스킨라빈스광장현대점,208477.578841473,448770.772544018
휴게음식점,영업,예산국수,206349.675048285,448396.939704285
휴게음식점,영업,카페봉봉,207386.38105469,451296.713898393
휴게음식점,영업,슬로우인디오븐,207297.69930366,450547.957727534
휴게음식점,영업,한빛사우나,207728.881211899,450600.779786883
휴게음식점,영업,베러댄쿠키(better than cookie),206749.395789406,450393.93683899
휴게음식점,영업,베스킨라빈스중곡역점,207363.29740909,451547.444233369
휴게음식점,영업,보그너커피(중곡점),207305.012650909,451402.772814601
휴게음식점,영업,세븐일레븐건대메트로점,206031.196548172,448731.099217371
휴게음식점,영업,카페더아셀,207358.331271995,448801.796198194
휴게음식점,영업,GS아차산점,207957.467420594,450045.839977133
휴게음식점,영업,할머니 순대,207396.524692353,447564.115309104
휴게음식점,영업,카페플래닝스쿨,207316.117974646,448503.50464979
휴게음식점,영업,PC마루,207167.115247907,451109.393042033
휴게음식점,영업,장호덕 손만두,207107.347699859,451400.49822939
휴게음식점,영업,커피마마,207225.96144351,447506.614192723
휴게음식점,영업,라파,207015.671688085,447823.356212458
휴게음식점,영업,지에스(GS)25구의동국점,207558.307678239,449054.610498764
휴게음식점,영업,아미떼,207641.656975815,448381.878468892
휴게음식점,영업,제일분식,207129.620794259,451375.185515312
휴게음식점,영업,몽키타운,207444.54897561,448263.89528182
휴게음식점,영업,모카카페,206778.694470065,450207.690588222
휴게음식점,영업,이마트자양점(샐러드),206349.675048285,448396.939704285
휴게음식점,영업,이디야 아차산역점,207903.068321627,449950.902116323
휴게음식점,영업,누들스,206217.434726027,448506.218743834
휴게음식점,영업,놀러와,207747.813212436,449483.682353644
휴게음식점,영업,롯데리아뚝섬유원지점,205828.733665313,447787.808415064
휴게음식점,영업,케이티,207444.54897561,448263.89528182
휴게음식점,영업,이디야(광진구청점),207303.311997109,448617.656706563
휴게음식점,영업,GS25 S뚝섬유원지역점,,
휴게음식점,영업,스타벅스커피 구의역점,207359.077156309,448305.441351828
휴게음식점,영업,향기나는커피,206130.5819396,448587.832476005
휴게음식점,영업,라잇미,207092.907372024,451192.997824503
휴게음식점,영업,카페딕셔너리,206479.980833988,449827.630945538
휴게음식점,영업,매스토리,206212.244268239,449577.174890763
휴게음식점,영업,쥬시팔팔핫도그중곡점,207092.158906906,451438.322885872
휴게음식점,영업,토스트카페1호점,206659.164944911,450773.857255275
휴게음식점,영업,이디야,205905.381939151,448686.69670371
휴게음식점,영업,씨유(CU)화양문화,206134.078109767,449495.06302528
휴게음식점,영업,맥도날드 어린이대공원점,206391.443550902,449449.288270273
휴게음식점,영업,고봉민 김밥인,208729.170395929,448995.808404463
휴게음식점,영업,레스티오 동물생명과학관점,206445.881091692,448922.881688102
휴게음식점,영업,이마트24 자양스타점,207170.07288754,447991.643117971
휴게음식점,영업,스타벅스 광장점,208729.170395929,448995.808404463
휴게음식점,영업,이디야커피,206746.708330261,450141.931842062
휴게음식점,영업,원웨이,207529.006162924,450577.581159543
휴게음식점,영업,커피트레인,207161.23002905,448036.132756026
휴게음식점,영업,쇼,207705.607263808,449505.874089378
휴게음식점,영업,스타벅스 건국클래식점,206217.434726027,448506.218743834
휴게음식점,영업,써브웨이군자역점,206908.823781413,450372.530408586
휴게음식점,영업,스무디킹롯데시네마건대입구,206349.675048285,448396.939704285
휴게음식점,영업,가위바위보,207900.860399135,450560.126272438
휴게음식점,영업,라꼼제이,207558.075851123,448848.708348657
휴게음식점,영업,탭플레이(Taplay),207063.546030658,451440.343983577
휴게음식점,영업,1프로피시아레나(1%PCARENA),207980.954669792,450103.555182118
