행정동코드,총생활인구수
광장동,35631.557045454545
구의1동,24941.159032651514
구의2동,21536.960275151516
구의3동,31418.23383371212
군자동,21267.53115022727
능동,15946.23526121212
자양1동,24613.383368181818
자양2동,21246.671008560606
자양3동,23291.388717348484
중곡1동,15321.50143689394
중곡2동,18097.39653189394
중곡3동,15333.16740659091
중곡4동,25153.67269878788
화양동,41651.90817916666
